type,osm_id,osm_url,acces-tc,addr:city,addr:country,addr:housename,addr:housenumber,addr:postcode,addr:street,amenity,butcher,clothes,contact:email,contact:fax,contact:phone,contact:website,cuisine,description,drink,email,fax,halal,hallal,internet_access,kosher,name,opening_hours,operator,organic,payment:account_cards,payment:coins,payment:credit_cards,payment:debit_cards,payment:electronic_purses,payment:notes,phone,self_service,shop,source:website,sport,url,vending,website,wheelchair,wheelchair:entrance_width,wheelchair:step_height,wheelchair:toilets
Confiseries,724181538,http://www.openstreetmap.org/browse/node/724181538,,,,,,,,,,,,,,,,,,,,,,,,Chocolatier Puyricard,,,,,,,,,,,,confectionery,,,,,,,,,
Boutiques de Cadeaux,724232934,http://www.openstreetmap.org/browse/node/724232934,,,,,,,,,,,,,,,,,,,,,,,,Maroquinerie Hélène G,,,,,,,,,,,,gift,,,,,,,,,
Épiceries,299705954,http://www.openstreetmap.org/browse/node/299705954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,convenience,,,,,,,,,
Papetteries,466906183,http://www.openstreetmap.org/browse/node/466906183,,,,,,,,,,,,,,,,,,,,,,,,Gibert Joseph,,,,,,,,,,,,stationery,,,,,,,,,
Meubles et Décoration,724178444,http://www.openstreetmap.org/browse/node/724178444,,,,,,,,,,,,,,,,,,,,,,,,Comptoir de Famille,,,,,,,,,,,,furniture,,,,,,,,,
Vêtements,724181542,http://www.openstreetmap.org/browse/node/724181542,,,,,,,,,,,,,,,,,,,,,,,,Fée d'un Soir,,,,,,,,,,,,clothes,,,,,,,,,
Vêtements,724181541,http://www.openstreetmap.org/browse/node/724181541,,,,,,,,,,,,,,,,,,,,,,,,Zoé,,,,,,,,,,,,clothes,,,,,,,,,
Meubles et Décoration,724178445,http://www.openstreetmap.org/browse/node/724178445,,,,,,,,,,,,,,,,,,,,,,,,Luminaires Boudard,,,,,,,,,,,,furniture,,,,,,,,,
Vêtements,724186532,http://www.openstreetmap.org/browse/node/724186532,,,,,,,,,,,,,,,,,,,,,,,,Basic,,,,,,,,,,,,clothes,,,,,,,,,
Vêtements,724186534,http://www.openstreetmap.org/browse/node/724186534,,,,,,,,,,,,,,,,,,,,,,,,Element,,,,,,,,,,,,clothes,,,,,,,,,
