type,osm_id,osm_url,amenity,layer,name,recycling:cartons,recycling:glass,recycling:glass_bottles,recycling:magazines,recycling:newspaper,recycling:paper,recycling:paper_packaging,recycling:waste,recycling_type
Points Recyclage,1165308454,http://www.openstreetmap.org/browse/node/1165308454,recycling,,,,yes,,,,,,,container
Points Recyclage,-1892107358,http://www.openstreetmap.org/browse/node/2402859938,recycling,,,,yes,,,,,,,
Points Recyclage,479160975,http://www.openstreetmap.org/browse/node/479160975,recycling,,,,yes,,,,,,,
Points Recyclage,-1892118735,http://www.openstreetmap.org/browse/node/2402848561,recycling,,,,,,,,,,,
Points Recyclage,579739330,http://www.openstreetmap.org/browse/node/579739330,recycling,,,,,,,,,,,
Points Recyclage,579783678,http://www.openstreetmap.org/browse/node/579783678,recycling,,,,,,,,,,,
Points Recyclage,635872127,http://www.openstreetmap.org/browse/node/635872127,recycling,,,,,,,,yes,,,container
Points Recyclage,-1846916004,http://www.openstreetmap.org/browse/node/2448051292,recycling,,,,yes,,,,,,,container
Points Recyclage,248093015,http://www.openstreetmap.org/browse/node/248093015,recycling,,,,yes,,,,,,,
Points Recyclage,479160971,http://www.openstreetmap.org/browse/node/479160971,recycling,,,,,,,,,,,
Points Recyclage,256110629,http://www.openstreetmap.org/browse/node/256110629,recycling,,,,yes,,,,,,,
Points Recyclage,500956860,http://www.openstreetmap.org/browse/node/500956860,recycling,,,,,,,,,,,
Points Recyclage,105965590,http://www.openstreetmap.org/browse/node/105965590,recycling,,,,yes,yes,,,yes,,,container
Points Recyclage,1673540631,http://www.openstreetmap.org/browse/node/1673540631,recycling,,,,,,,,,,,
Points Recyclage,105964242,http://www.openstreetmap.org/browse/node/105964242,recycling,,,,,,,,,,,
Points Recyclage,130800981,http://www.openstreetmap.org/browse/node/130800981,recycling,,,,,,,,,,,
Points Recyclage,251353918,http://www.openstreetmap.org/browse/node/251353918,recycling,5,,,,,,,,,,
Points Recyclage,281766358,http://www.openstreetmap.org/browse/node/281766358,recycling,,,yes,yes,yes,yes,yes,yes,yes,,
Points Recyclage,1387799994,http://www.openstreetmap.org/browse/node/1387799994,recycling,5,,,,,,,,,,
