type,osm_id,osm_url,access,addr:city,addr:country,addr:housename,addr:housenumber,addr:postcode,addr:street,alcohol,alt_name,amenity,bar,beverage,building,contact:email,contact:phone,contact:website,cuisine,description,food,int_name,internet_access,layer,microbrewery,name,newsagent,old_name,opening_hours,operator,organic,outdoor_seating,phone,smoking,takeaway,tobacco,website,wheelchair,wheelchair:entrance_width,wheelchair:step_height,wifi
Restaurants,1720532345,http://www.openstreetmap.org/browse/node/1720532345,,,,,,,,,,restaurant,,,,,,,,,,,,,,Burger et Blanquette,,,,,,,,,,,,,,,
Restaurants,635879580,http://www.openstreetmap.org/browse/node/635879580,,,,,,,,,,restaurant,,,,,,,,,,,,,,Chez Boris,,,,,,,,,,,,,,,
Cafés,976483966,http://www.openstreetmap.org/browse/node/976483966,,,,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cafés,635866247,http://www.openstreetmap.org/browse/node/635866247,,,,,,,,,,cafe,,,,,,,,,,,,,,Le Petit Nice,,,,,,,,,,,,,,,
Restaurants,711994591,http://www.openstreetmap.org/browse/node/711994591,,,,,,,,,,restaurant,,,,,,,,,,,,,,Le Tire Bouchon,,,,,,,,,,,,,,,
Restaurants,-2056517020,http://www.openstreetmap.org/browse/node/2238450276,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurants,620884301,http://www.openstreetmap.org/browse/node/620884301,,,,,,,,,,restaurant,,,,,,,,,,,,,,Le Carré Chic,,,,,,,,,,,,,,,
Restaurants,-2056517014,http://www.openstreetmap.org/browse/node/2238450282,,,,,,,,,,restaurant,,,,,,,,,,,,,,Boby Chéri,,,,,,,,,,,,,,,
Fast-Foods,724233236,http://www.openstreetmap.org/browse/node/724233236,,,,,,,,,,fast_food,,,,,,,,,,,,,,Chez Tim Titone,,,,,,,,,,,,,,,
Fast-Foods,724233245,http://www.openstreetmap.org/browse/node/724233245,,,,,,,,,,fast_food,,,,,,,asian,,,,,,,Le Lotus d'Or,,,,,,,,,,,,,,,
Cafés,582826478,http://www.openstreetmap.org/browse/node/582826478,,,,,,,,,,cafe,,,,,,,,,,,,,,Café de la Mer,,,,,,,,,,,,,,,
Cafés,711994604,http://www.openstreetmap.org/browse/node/711994604,,,,,,,,,,cafe,,,,,,,,,,,,,,Café Z,,,,,,,,,,,,,,,
Fast-Foods,724209675,http://www.openstreetmap.org/browse/node/724209675,,,,,,,,,,fast_food,,,,,,,,,,,,,,Le Graillou,,,,,,,,,,,,,,,
Restaurants,620884303,http://www.openstreetmap.org/browse/node/620884303,,,,,,,,,,restaurant,,,,,,,,,,,,,,Le Nouveau Monde,,,,,,,,,,,,,,,
Restaurants,601728801,http://www.openstreetmap.org/browse/node/601728801,,,,,,,,,,restaurant,,,,,,,italian,,,,,,,Don Camillo,,,,,,,,,,,,,,,
Restaurants,724224800,http://www.openstreetmap.org/browse/node/724224800,,,,,,,,,,restaurant,,,,,,,,,,,,,,Les Vignes,,,,,,,,,,,,,,,
Cafés,724207423,http://www.openstreetmap.org/browse/node/724207423,,,,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurants,-2056517009,http://www.openstreetmap.org/browse/node/2238450287,,,,,,,,,,restaurant,,,,,,,,,,,,,,Baron Rouge,,,,,,,,,,,,,,,
Cafés,711994615,http://www.openstreetmap.org/browse/node/711994615,,,,,,,,,,cafe,,,,,,,,,,,,,,Café Joseph,,,,,,,,,,,,,,,
Restaurants,620884300,http://www.openstreetmap.org/browse/node/620884300,,,,,,,,,,restaurant,,,,,,,,,,,,,,Le Bistrot d'Alco,,,,,,,,,,,,,,,
Restaurants,712004046,http://www.openstreetmap.org/browse/node/712004046,,,,,,,,,,restaurant,,,,,,,,,,,,,,Gecko,,,,,,,,,,,,,,,
Fast-Foods,724205138,http://www.openstreetmap.org/browse/node/724205138,,,,,,,,,,fast_food,,,,,,,,,,,,,,Le Mignon,,,,,,,,,,,,,,,
Restaurants,711994631,http://www.openstreetmap.org/browse/node/711994631,,,,,,,,,,restaurant,,,,,,,,,,,,,,Brasserie Régis,,,,,,,,,,,,,,,
Cafés,712004014,http://www.openstreetmap.org/browse/node/712004014,,,,,,,,,,cafe,,,,,,,,,,,,,,Iles et Thé une Fois,,,,,,,,,,,,,,,
Restaurants,712004019,http://www.openstreetmap.org/browse/node/712004019,,,,,,,,,,restaurant,,,,,,,,,,,,,,Tonus Fresh Kitchen,,,,,,,,,,,,,,,
Restaurants,712004009,http://www.openstreetmap.org/browse/node/712004009,,,,,,,,,,restaurant,,,,,,,,,,,,,,Arezzo,,,,,,,,,,,,,,,
Cafés,724205209,http://www.openstreetmap.org/browse/node/724205209,,,,,,,,,,cafe,,,,,,,,,,,,,,Cocco E Fragola,,,,,,,,,,,,,,,
Restaurants,712004056,http://www.openstreetmap.org/browse/node/712004056,,,,,,,,,,restaurant,,,,,,,,,,,,,,Paradis d'Asie,,,,,,,,,,,,,,,
