type,osm_id,osm_url,amenity,contact:phone,covered,layer,operator,payment:credit_cards,payment:debit_cards,payment:telephone_cards,phone,shelter
Téléphones publics,1252168854,http://www.openstreetmap.org/browse/node/1252168854,telephone,,,,,,,,,
Téléphones publics,1728368540,http://www.openstreetmap.org/browse/node/1728368540,telephone,,,,France Telecom,yes,,,,
Téléphones publics,-1932067607,http://www.openstreetmap.org/browse/node/2362899689,telephone,,,,France Telecom,yes,,,,
Téléphones publics,-1932067604,http://www.openstreetmap.org/browse/node/2362899692,telephone,,,,,,,,,
Téléphones publics,579739334,http://www.openstreetmap.org/browse/node/579739334,telephone,,,,,,,,,
Téléphones publics,281766511,http://www.openstreetmap.org/browse/node/281766511,telephone,,,,,,,,,
Téléphones publics,348425221,http://www.openstreetmap.org/browse/node/348425221,telephone,,,,,,,,,
Téléphones publics,105964249,http://www.openstreetmap.org/browse/node/105964249,telephone,,,,France Télécom,,,yes,,
Téléphones publics,2078140305,http://www.openstreetmap.org/browse/node/2078140305,telephone,,,,,,,,,
Téléphones publics,281008666,http://www.openstreetmap.org/browse/node/281008666,telephone,,,5,,,,,,
Téléphones publics,281766380,http://www.openstreetmap.org/browse/node/281766380,telephone,,,5,,,,,,
Téléphones publics,282723686,http://www.openstreetmap.org/browse/node/282723686,telephone,,,5,,,,,,
Téléphones publics,281766348,http://www.openstreetmap.org/browse/node/281766348,telephone,,,,,,,,,
Téléphones publics,251353924,http://www.openstreetmap.org/browse/node/251353924,telephone,,,5,,,,,,
Téléphones publics,280698655,http://www.openstreetmap.org/browse/node/280698655,telephone,,,,,,,,,
Téléphones publics,1368901090,http://www.openstreetmap.org/browse/node/1368901090,telephone,,,,,,,,,
Téléphones publics,1404462938,http://www.openstreetmap.org/browse/node/1404462938,telephone,,,,,,,,,
Téléphones publics,148704879,http://www.openstreetmap.org/browse/node/148704879,telephone,,,,,,,,,
Téléphones publics,348423544,http://www.openstreetmap.org/browse/node/348423544,telephone,,,,,,,,,
