Espèce,Numéro nomenclatural,Nom retenu,Numéro nomenclatural nom retenu,Numéro taxonomique,Famille,Referentiel taxonomique,Commune,Identifiant Commune,Date,Lieu-dit,Station,Milieu,Notes,Latitude,Longitude,Altitude,Référentiel Géographique,Lumière,Température,Continentalité,Humidité Atmosphérique,Humidité,Réaction (pH),Nutriments,Salinité,Texture,Matière Organique,Code Catminat,Syntaxon,ext:personneStructure,ext:personneService,ext:personneFonction,ext:adresse,ext:latitudeDebutRue,ext:longitudeDebutRue,ext:latitudeFinRue,ext:longitudeFinRue,ext:typoUrbaine,ext:revetementSol,ext:presenceZoneVegetalise,ext:hauteurBatimentAvoisinant,ext:intensiteGestion,ext:periodiciteTraitementPhyto,ext:itineraireGestion,ext:dateDerniereIntervention,ext:hauteurPlante,ext:resistanceTraitementPhyto,ext:vitesseCroissance,ext:perceptionTechnicien,ext:perceptionRiverainMauvaise,ext:coteRue,ext:apparence
Allium ursinum,74946,Allium ursinum L.,74946,29938,Amaryllidaceae,bdtfx,Montpellier,34,2007/04/18,Jardin botanique,,,234,"43,61528","3,87174",,WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrophularia canina,61979,Scrophularia canina L.,61979,5459,Scrophulariaceae,bdtfx,Montpellier,34,2007/04/18,Jardin botanique,,,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer monspessulanum,182,Acer monspessulanum L.,182,8523,Sapindaceae,bdtfx,Montpellier,34,2007/05/10,Jardin des plantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diplotaxis erucoides (L.) DC.,75095,Diplotaxis erucoides (L.) DC.,75095,30087,Brassicaceae,bdtfx,Montpellier,34,2008/03/05,Plan des 4 seigneurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capsella bursa-pastoris (L.) Medik.,75016,Capsella bursa-pastoris (L.) Medik.,75016,30008,Brassicaceae,bdtfx,Montpellier,34,2008/03/06,Quartier St Clément,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonchus oleraceus L.,65205,Sonchus oleraceus L.,65205,1232,Asteraceae,bdtfx,Montpellier,34,2008/03/07,Campus SupAgro-INRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardamine hirsuta L.,12878,Cardamine hirsuta L.,12878,1592,Brassicaceae,bdtfx,Montpellier,34,2008/03/07,Campus SupAgro-INRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veronica persica Poir.,71290,Veronica persica Poir.,71290,5522,Plantaginaceae,bdtfx,Montpellier,34,2008/03/07,Campus SupAgro-INRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malva sylvestris L.,40893,Malva sylvestris L.,40893,3831,Malvaceae,bdtfx,Montpellier,34,2008/03/09,Quartier St Clément,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbia helioscopia L.,25914,Euphorbia helioscopia L.,25914,2710,Euphorbiaceae,bdtfx,Montpellier,34,2008/03/09,Quartier St Clément,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
