FNODE_,N,11,0;TNODE_,N,11,0;LPOLY_,N,11,0;RPOLY_,N,11,0;LENGTH,N,19,5;CYCLE_,N,11,0;CYCLE_ID,N,11,0;CLASS,N,6,0;Nom,C,50
0;0;0;0;434,25882;3;12;3;Voie bidirectionnelle
0;0;0;0;2003,17627;4;14;3;Voie bidirectionnelle
0;0;0;0;1353,56919;5;20;3;Voie bidirectionnelle
0;0;0;0;470,88264;6;23;3;Voie bidirectionnelle
0;0;0;0;1101,53242;8;22;3;Voie bidirectionnelle
0;0;0;0;262,80683;9;22;3;Voie bidirectionnelle
0;0;0;0;1067,3726;13;33;3;Voie bidirectionnelle
0;0;0;0;265,72934;16;40;3;Voie bidirectionnelle
0;0;0;0;491,1525;18;47;3;Voie bidirectionnelle
0;0;0;0;391,46972;20;53;3;Voie bidirectionnelle
0;0;0;0;329,17971;21;56;3;Voie bidirectionnelle
0;0;0;0;301,52284;22;57;3;Voie bidirectionnelle
0;0;0;0;45,25905;24;61;3;Voie bidirectionnelle
0;0;0;0;435,94606;33;9;3;Voie bidirectionnelle
0;0;0;0;694,53348;34;92;3;Voie bidirectionnelle
0;0;0;0;1342,59024;35;13;3;Voie bidirectionnelle
0;0;0;0;198,65878;38;90;3;Voie bidirectionnelle
0;0;0;0;505,79075;42;35;3;Voie bidirectionnelle
0;0;0;0;34,29625;47;45;3;Voie bidirectionnelle
0;0;0;0;1385,36849;51;43;3;Voie bidirectionnelle
0;0;0;0;84,34679;56;63;3;Voie bidirectionnelle
0;0;0;0;1985,87982;57;44;3;Voie bidirectionnelle
0;0;0;0;128,23452;59;60;3;Voie bidirectionnelle
0;0;0;0;237,45634;60;1;3;Voie bidirectionnelle
0;0;0;0;788,49221;61;93;3;Voie bidirectionnelle
0;0;0;0;150,0556;62;93;3;Voie bidirectionnelle
0;0;0;0;469,8822;63;9;3;Voie bidirectionnelle
0;0;0;0;414,7961;64;87;3;Voie bidirectionnelle
0;0;0;0;1235,91906;68;32;3;Voie bidirectionnelle
0;0;0;0;732,73665;70;27;3;Voie bidirectionnelle
0;0;0;0;396,50917;71;26;3;Voie bidirectionnelle
0;0;0;0;258,0244;72;26;3;Voie bidirectionnelle
0;0;0;0;482,68735;73;85;3;Voie bidirectionnelle
0;0;0;0;732,38374;74;28;3;Voie bidirectionnelle
0;0;0;0;483,92355;86;5;3;Voie bidirectionnelle
0;0;0;0;450,05174;87;5;3;Voie bidirectionnelle
0;0;0;0;426,41581;90;6;3;Voie bidirectionnelle
0;0;0;0;1138,19846;91;78;3;Voie bidirectionnelle
0;0;0;0;206,91019;92;77;3;Voie bidirectionnelle
0;0;0;0;33,27727;93;84;3;Voie bidirectionnelle
0;0;0;0;198,58116;98;15;4;Voie bidirectionnelle
0;0;0;0;380,38698;102;22;3;Voie bidirectionnelle
0;0;0;0;347,88523;103;22;3;Voie bidirectionnelle
0;0;0;0;52,26785;106;4;3;Voie bidirectionnelle
0;0;0;0;36,79708;107;4;3;Voie bidirectionnelle
0;0;0;0;65,67839;111;43;3;Voie bidirectionnelle
0;0;0;0;88,14444;114;97;3;Voie bidirectionnelle
0;0;0;0;111,62094;116;58;3;Voie bidirectionnelle
0;0;0;0;81,36323;117;58;3;Voie bidirectionnelle
0;0;0;0;426,08716;120;13;3;Voie bidirectionnelle
0;0;0;0;281,39639;121;6;3;Voie bidirectionnelle
0;0;0;0;526,68798;122;4;3;Voie bidirectionnelle
0;0;0;0;488,67485;123;4;3;Voie bidirectionnelle
0;0;0;0;2095,10071;126;19;3;Voie bidirectionnelle
0;0;0;0;1144,2651;127;2;3;Voie bidirectionnelle
0;0;0;0;175,23788;128;22;3;Voie bidirectionnelle
0;0;0;0;284,02541;129;8;3;Voie bidirectionnelle
0;0;0;0;339,41914;132;3;3;Voie bidirectionnelle
0;0;0;0;38,46319;133;3;3;Voie bidirectionnelle
0;0;0;0;265,4151;134;5;3;Voie bidirectionnelle
0;0;0;0;221,31021;135;9;3;Voie bidirectionnelle
0;0;0;0;617,41434;136;44;3;Voie bidirectionnelle
0;0;0;0;386,40648;137;12;3;Voie bidirectionnelle
0;0;0;0;132,20238;138;23;3;Voie bidirectionnelle
0;0;0;0;208,77122;140;11;3;Voie bidirectionnelle
0;0;0;0;270,55427;141;20;3;Voie bidirectionnelle
0;0;0;0;111,3865;142;21;3;Voie bidirectionnelle
0;0;0;0;744,29434;146;83;3;Voie bidirectionnelle
0;0;0;0;524,39175;148;18;3;Voie bidirectionnelle
27;28;0;0;1863,63023;152;4;3;Voie bidirectionnelle
29;30;0;0;28,54566;153;4;3;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;280,81925;0;0;0;Voie bidirectionnelle
0;0;0;0;303,88702;0;0;0;Voie bidirectionnelle
0;0;0;0;440,29383;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
17;18;0;0;1889,90729;151;91;3;Voie bidirectionnelle
0;0;0;0;326,07373;143;68;3;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie bidirectionnelle
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Voie fléchée
0;0;0;0;0;0;0;0;Couloir de bus cyclable
0;0;0;0;0;0;0;0;Couloir de bus cyclable
0;0;0;0;0;0;0;0;Couloir de bus cyclable
0;0;0;0;0;0;0;0;Couloir de bus cyclable
0;0;0;0;0;0;0;0;Couloir de bus cyclable
0;0;0;0;0;0;0;0;Voie verte
0;0;0;0;0;0;0;0;Voie verte
0;0;0;0;0;0;0;0;Voie verte
0;0;0;0;0;0;0;0;Voie verte
0;0;0;0;0;0;0;0;Voie verte
0;0;0;0;0;0;0;0;Voie verte
0;0;0;0;0;0;0;0;Voie verte
0;0;0;0;0;0;0;0;Voie verte
0;0;0;0;0;0;0;0;Voie verte
0;0;0;0;0;0;0;0;Voie verte
0;0;0;0;0;0;0;0;Voie verte
0;0;0;0;0;0;0;0;Voie verte
0;0;0;0;0;0;0;0;Voie verte
0;0;0;0;0;0;0;0;Voie verte
0;0;0;0;0;0;0;0;Voie verte
0;0;0;0;0;0;0;0;Voie verte
0;0;0;0;0;0;0;0;Voie unidirectionnelle
0;0;0;0;0;0;0;0;Voie unidirectionnelle
0;0;0;0;0;0;0;0;Voie unidirectionnelle
0;0;0;0;0;0;0;0;Voie unidirectionnelle
0;0;0;0;0;0;0;0;Voie unidirectionnelle
