CODE;DESIGNATION;CODE CATEG;CATEGORIE;CODE CAT ERP;CATEGORIE ERP;CODE TYPE ERP;TYPE ERP;CODE ACCESS;NUM VOIRIE;RUE;ADR2;ADR3;PROPRIO;CDRUE;LIB ACCESS;GROUPE ERP
1155;ECOLE ELEMENTAIRE MARC BLOCH;SCOE;SCOLAIRE ELEMENTAIRE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;135;ALL HAUTS DE MONTPELLIER;NULL;NULL;VILLE;1204;lourde;ENSEIGNEMENT
1162;ECOLE MATERNELLE COPERNIC;SCOM;SCOLAIRE MATERNELLE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;135;ALL HAUTS DE MONTPELLIER;NULL;NULL;VILLE;1204;lourde;ENSEIGNEMENT
2046;MAISON DES SYNDICATS;ASSOS;ASSOCIATION;V;5ème catégorie;W;Administrations, banques, bureaux;6;474;ALLEE HENRI II DE MONTMORENCY;NULL;NULL;VILLE;1211;lourde;ASSOCIATIF
39124;COLLEGE JOFFRE;SCO;SCOLAIRE;II;2ème catégorie (700 < effectif <= 1500);R;Etab. d'enseignement sans hébergement;6;211;ALL HENRI II MONTMORENCY;NULL;NULL;CG 34;1211;lourde;ENSEIGNEMENT
1686;ENSEMBLE MAISON POUR TOUS MARIE CURIE;DIVERS;MULTI - AFFECTATION;III;3ème catégorie (300 < effectif <= 700);L;Salles usage auditions, conférences, ...;5;13;ALLEE ANTONIN CHAULIAC;NULL;NULL;VILLE;2563;simple;TOUT PUBLIC
1125;ECOLE MATERNELLE MADELEINE BRES;SCO;SCOLAIRE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;183;ALLEE DE L'AQUEDUC;NULL;NULL;VILLE;494;lourde;ENSEIGNEMENT
1126;ECOLE ELEMENTAIRE JULIE DAUBIE;SCO;SCOLAIRE;III;3ème catégorie (300 < effectif <= 700);R;Etab. d'enseignement sans hébergement;6;183;ALLEE DE L'AQUEDUC;NULL;NULL;VILLE;494;lourde;ENSEIGNEMENT
38928;LYCEE JOFFRE - ESPACE DIRECTION SECRETARIAT;SCO;SCOLAIRE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;7;150;ALLEE DE LA CITADELLE;NULL;NULL;NULL;780;complexe;ENSEIGNEMENT
1200;RESTAURANT GROUPE SCOLAIRE MARIE CURIE - ALPHONSE DAUDET;SCO;SCOLAIRE;V;5ème catégorie;N;Restaurants et débits de boissons;6;6;ALLEE DES SOPHORAS;NULL;NULL;VILLE;2016;lourde;ENSEIGNEMENT
1204;ELEMENTAIRE MARIE CURIE;SCOE;SCOLAIRE ELEMENTAIRE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;7;6;ALLEE DES SOPHORAS;NULL;NULL;NULL;2016;complexe;ENSEIGNEMENT
1205;MATERNELLE ALPHONSE DAUDET;SCOM;SCOLAIRE MATERNELLE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;2;ALLEE DES SOPHORAS;NULL;NULL;NULL;2016;lourde;ENSEIGNEMENT
1692;MAISON POUR TOUS SAINT EXUPERY;MPT;MAISON POUR TOUS;IV;4ème catégorie (effectif <= 300);L;Salles usage auditions, conférences, ...;5;130;ALLEE DU BRIOL;NULL;NULL;VILLE;2259;simple;ASSOCIATIF
