"OBJECTID_1,N,9,0","OBJECTID,N,9,0","NOMOBJ,C,15","NUMOBJ,N,19,11","MARQUE,C,50","SUPPORT,C,50","DIM,C,50","CDCOM,N,19,11","BISTER,C,10","CDRUE,N,19,11","NORUE,N,19,11","METRAGE,N,19,11","QUART,C,20","SSQUART,C,20","CANTON,C,20","OBSERV,C,20","HISTO0,C,8","photo,C,10","Coord_x,C,50","Coord_y,C,50"
1,1,P.A.L,359,MATRIX,POTEAUX IPN,240 X160,34172,,618,161,0,3,9,10,,901462,359,"3,83295549076395","43,606299264524"
2,2,P.A.L,338,MATRIX,MUR,240 X160,34172,,1781,0,0,3,9,8,,900faf,338,"3,83791687340067","43,6069187679286"
3,3,P.A.L,335,MATRIX,MUR,240 X160,34172,,1781,0,0,3,9,8,,90100d,335,"3,83794159675615","43,6070746382555"
4,4,P.A.L,337,MATRIX,MUR,240 X160,34172,,1781,0,0,3,9,8,,90114a,337,"3,83805436498562","43,6069817675208"
5,5,P.A.L,336,MATRIX,MUR,240 X160,34172,,1781,0,0,3,9,8,,9011dd,336,"3,83806965275494","43,6071516271985"
6,11,P.A.L,348,MATRIX,POTEAUX IPN,240 X160,34172,,857,65,0,2,6,10,,900dec,348,"3,82956433922027","43,6119754950398"
8,25,P.A.L,378,MATRIX,POTEAUX IPN,240 X160,34172,,1568,2300,0,1,2,9,,900c5d,378,"3,83409485340617","43,621334158507"
9,26,P.A.L,361,MATRIX,POTEAUX IPN,240 X160,34172,,2300,0,0,1,2,9,,90129a,361,"3,83398529627437","43,6212058146268"
10,27,P.A.L,282,MATRIX,POTEAUX IPN,240 X160,34172,,1794,388,0,4,14,6,,900a3b,282,"3,85603640027075","43,5848001044581"
11,40,P.A.L,209,MATRIX,POTEAUX IPN,240 X160,34172,,2100,0,0,4,13,8,,900a81,209,"3,84496653473665","43,5964275564169"
12,41,P.A.L,324,MATRIX,POTEAUX IPN,240 X160,34172,,1363,25,0,3,9,8,,90132e,324,"3,84276829959789","43,5994272327286"
13,46,P.A.L,331,MATRIX,POTEAUX IPN,240 X160,34172,,864,803,0,3,10,8,,901260,331,"3,84461925522359","43,6043525360166"
14,48,P.A.L,213,MATRIX,POTEAUX IPN,240 X160,34172,,1695,0,0,3,10,8,,900c7a,213,"3,81758913608854","43,6230021551578"
15,49,P.A.L,212,MATRIX,POTEAUX IPN,240 X160,34172,,1695,0,0,3,10,8,,901084,212,"3,8176620339727","43,6245037046097"
