TARGET_FID,N,9,0;CODCOMM,C,6;TYPE,C,3;LIBQUART,C,32;AREA,N,19,11;PERIMETER,N,19,11;BATIMENTS_,N,9,0;PATRLIB,C,36;CLEFPATR,C,8;CDCOL,C,1;CDPAT,C,5;CDELEM,C,2;CLASS,C,5;SYMBOLE,N,4,0;SHAPE_Leng,N,19,11;SHAPE_Area,N,19,11
343;340172;D;HOPITAUX-FACULTES;0;0;0;CIHEA;;;;;BT;104;136,291726964;682,730200067
344;340172;L;HOPITAUX-FACULTES;0;0;0;CIHEA;;;;;BT;104;20,9238928359;21,1074285057
430;340172;L;HOPITAUX-FACULTES;0;0;0;CIHEA;;;;;BT;104;30,8731185106;49,3376999898
447;340172;D;HOPITAUX-FACULTES;0;0;0;CIHEA;;;;;BT;104;63,9656687798;238,546000077
448;340172;L;HOPITAUX-FACULTES;1534,41376925;258,335429395;1375;CIHEA;99999999;0;00000;0;BT;104;35,5943657379;33,4351999395
453;340172;D;HOPITAUX-FACULTES;0;0;0;CIHEA;;;;;BT;104;34,3354217455;67,430899983
458;340172;D;HOPITAUX-FACULTES;0;0;0;CIHEA;;;;;BT;104;97,2160249321;299,883200171
462;340172;L;HOPITAUX-FACULTES;0;0;0;CIHEA;;;;;BT;104;91,2052085409;71,1003499365
476;340172;D;HOPITAUX-FACULTES;1534,41376925;258,335429395;1375;CIHEA;99999999;0;00000;0;BT;104;260,464848577;1504,24939993
479;340172;D;HOPITAUX-FACULTES;0;0;0;CIHEA;;;;;BT;104;107,82059733;334,11757351
488;340172;D;HOPITAUX-FACULTES;0;0;0;CIHEA;;;;;BT;104;115,49704733;363,564900003
497;340172;L;HOPITAUX-FACULTES;3891,48903438;296,064188774;1372;Musée Agropolis;99999999;0;00000;0;BT;104;33,4589391887;63,8519500209
499;340172;D;HOPITAUX-FACULTES;4985,26823791;563,132897307;1362;I.R.D;99999999;0;00000;0;BT;104;18,6707042102;5,6008500029
504;340172;L;HOPITAUX-FACULTES;4985,26823791;563,132897307;1362;I.R.D;99999999;0;00000;0;BT;104;18,3465883766;10,9398459075
505;340172;L;HOPITAUX-FACULTES;4985,26823791;563,132897307;1362;I.R.D;99999999;0;00000;0;BT;104;21,5237072315;9,2252990076
506;340172;D;HOPITAUX-FACULTES;4985,26823791;563,132897307;1362;I.R.D;99999999;0;00000;0;BT;104;4,9761420569;0,9714894992
512;340172;L;HOPITAUX-FACULTES;3486,28132176;475,265467214;1374;Lycée Frederic Bazille;70009600;7;00096;00;BT;104;24,1205888708;18,471300022
518;340172;D;HOPITAUX-FACULTES;3486,28132176;475,265467214;1374;Lycée Frederic Bazille;70009600;7;00096;00;BT;104;472,966576484;3470,45640017
531;340172;D;HOPITAUX-FACULTES;3891,48903438;296,064188774;1372;Musée Agropolis;99999999;0;00000;0;BT;104;8,9563980194;4,7734000026
534;340172;D;HOPITAUX-FACULTES;4985,26823791;563,132897307;1362;I.R.D;99999999;0;00000;0;BT;104;560,423914728;4637,47998508
536;340172;D;HOPITAUX-FACULTES;3891,48903438;296,064188774;1372;Musée Agropolis;99999999;0;00000;0;BT;104;306,360090908;3683,5667999
539;340172;L;HOPITAUX-FACULTES;4985,26823791;563,132897307;1362;I.R.D;99999999;0;00000;0;BT;104;20,6225172504;26,4552499975
543;340172;L;HOPITAUX-FACULTES;4985,26823791;563,132897307;1362;I.R.D;99999999;0;00000;0;BT;104;27,757437608;31,138499978
545;340172;D;HOPITAUX-FACULTES;4985,26823791;563,132897307;1362;I.R.D;99999999;0;00000;0;BT;104;40,0823249438;17,0430420087
547;340172;L;HOPITAUX-FACULTES;3891,48903438;296,064188774;1372;Musée Agropolis;99999999;0;00000;0;BT;104;64,399272517;110,79815002
550;340172;L;HOPITAUX-FACULTES;4985,26823791;563,132897307;1362;I.R.D;99999999;0;00000;0;BT;104;62,2301954948;128,431369959
553;340172;L;HOPITAUX-FACULTES;3891,48903438;296,064188774;1372;Musée Agropolis;99999999;0;00000;0;BT;104;25,0239712201;36,693449998
556;340172;L;HOPITAUX-FACULTES;3891,48903438;296,064188774;1372;Musée Agropolis;99999999;0;00000;0;BT;104;11,9435717784;8,8607999932
561;340172;D;HOPITAUX-FACULTES;0;0;0;E.N.G.R.E.F;;;;;BT;104;45,8161667764;113,130249937
564;340172;D;HOPITAUX-FACULTES;0;0;0;Parc Zoologique Henry de Lunaret;;;;;BC;109;25,2533713285;36,6088500117
565;340172;D;HOPITAUX-FACULTES;0;0;0;Parc Zoologique Henry de Lunaret;;;;;BC;109;24,8343724919;35,3916000106
566;340172;D;HOPITAUX-FACULTES;0;0;0;Parc Zoologique Henry de Lunaret;;;;;BC;109;25,7194794776;37,9517000249
567;340172;L;HOPITAUX-FACULTES;0;0;0;Parc Zoologique Henry de Lunaret;;;;;BC;109;41,1574179222;95,555850011
568;340172;D;HOPITAUX-FACULTES;0;0;0;Parc Zoologique Henry de Lunaret;;;;;BC;109;25,3157733156;36,5282000259
569;340172;D;HOPITAUX-FACULTES;24,3425624911;18,8923851294;1371;E.N.G.R.E.F;70012300;7;00123;00;BT;104;122,090212544;560,060049994
570;340172;D;HOPITAUX-FACULTES;0;0;0;E.N.G.R.E.F;;;;;BT;104;27,3860696494;38,3130000222
573;340172;D;HOPITAUX-FACULTES;1557,31002494;223,803127142;1363;C.E.E.M.A.T;99999999;;;;BT;104;64,1389324345;231,234350002
574;340172;D;HOPITAUX-FACULTES;336,949124989;94,1989015101;1361;Parc Zoologique Henry de Lunaret;;;;;BC;109;89,2380018899;256,505850021
576;340172;L;HOPITAUX-FACULTES;341,687100028;85,8718543116;1358;Crèche Agropolis;00020300;0;00203;00;BC;109;54,0361934522;39,762149989
577;340172;D;HOPITAUX-FACULTES;0;0;0;Parc Zoologique Henry de Lunaret;;;;;BC;109;25,4840613263;36,9548999932
578;340172;D;HOPITAUX-FACULTES;0;0;0;;;;;;BC;109;55,4605292729;147,184749965
579;340172;D;HOPITAUX-FACULTES;0;0;0;Parc Zoologique Henry de Lunaret;;;;;BC;109;18,6534258902;19,1867000087
580;340172;D;HOPITAUX-FACULTES;522,030818884;125,885636062;1376;Base de pleine nature Lavalette;70001600;7;00016;00;BC;109;96,4435265664;403,219500111
581;340172;L;HOPITAUX-FACULTES;111,998184305;53,1098596992;1367;C.E.E.M.A.T;99999999;;;;BT;104;53,1850699072;112,541700055
583;340172;D;HOPITAUX-FACULTES;1329,77990317;163,148090263;1365;C.E.E.M.A.T;99999999;;;;BT;104;163,295893888;1192,4478501
585;340172;D;HOPITAUX-FACULTES;341,687100028;85,8718543116;1358;Crèche Agropolis;00020300;0;00203;00;BC;109;82,8070119291;301,757399996
586;340172;D;HOPITAUX-FACULTES;0;0;0;Parc Zoologique Henry de Lunaret;;;;;BC;109;9,509682733;5,478050011
587;340172;D;HOPITAUX-FACULTES;0;0;0;Parc Zoologique Henry de Lunaret;;;;;BC;109;24,8612741672;35,0978500014
588;340172;D;HOPITAUX-FACULTES;0;0;0;;;;;;BC;109;85,2007257501;229,464460014
589;340172;D;HOPITAUX-FACULTES;0;0;0;;;;;;BC;109;54,2661508665;177,459200022
590;340172;L;HOPITAUX-FACULTES;84,9003905136;44,2093431172;1377;Base de pleine nature Lavalette;70001600;7;00016;00;BC;109;44,2394911909;84,9585999778
591;340172;D;HOPITAUX-FACULTES;522,030818884;125,885636062;1376;Base de pleine nature Lavalette;70001600;7;00016;00;BC;109;14,4395839181;12,9868000095
593;340172;L;HOPITAUX-FACULTES;1456,42022805;246,461515649;1368;C.E.E.M.A.T;99999999;;;;BT;104;16,8803091946;17,6717000063
596;340172;L;HOPITAUX-FACULTES;0;0;0;;;;;;BC;109;11,978197883;8,8122374936
598;340172;D;HOPITAUX-FACULTES;1013,1681561;195,676834411;1373;E.N.G.R.E.F;70012300;7;00123;00;BT;104;76,8052723178;307,603500045
599;340172;L;HOPITAUX-FACULTES;1456,42022805;246,461515649;1368;C.E.E.M.A.T;99999999;;;;BT;104;53,7499198709;98,0219999832
601;340172;D;HOPITAUX-FACULTES;0;0;0;Parc Zoologique Henry de Lunaret;;;;;BC;109;77,3722510493;359,195749963
602;340172;D;HOPITAUX-FACULTES;0;0;0;Parc Zoologique Henry de Lunaret;;;;;BC;109;27,7917492688;43,416749989
603;340172;D;HOPITAUX-FACULTES;0;0;0;Parc Zoologique Henry de Lunaret;;;;;BC;109;17,3656847204;18,7956999964
604;340172;D;HOPITAUX-FACULTES;571,981537526;84,8155008773;1344;Tour de Lavalette;00062000;0;00620;00;BC;109;15,5062237536;18,7821999992
605;340172;D;HOPITAUX-FACULTES;0;0;0;Parc Zoologique Henry de Lunaret;;;;;BC;109;13,371453995;10,494799996
608;340172;D;HOPITAUX-FACULTES;1456,42022805;246,461515649;1368;C.E.E.M.A.T;99999999;;;;BT;104;201,769228902;1341,70545004
609;340172;D;HOPITAUX-FACULTES;1456,42022805;246,461515649;1368;C.E.E.M.A.T;99999999;;;;BT;104;29,0346132027;43,9190999984
612;340172;D;HOPITAUX-FACULTES;524,03596855;136,078080924;1370;C.E.E.M.A.T;99999999;;;;BT;104;136,080298107;524,726900048
613;340172;D;HOPITAUX-FACULTES;203,305509458;79,2561572831;1359;Parc Zoologique Henry de Lunaret;;;;;BC;109;80,7929552152;215,55159996
614;340172;D;HOPITAUX-FACULTES;0;0;0;Parc Zoologique Henry de Lunaret;;;;;BC;109;22,7005134567;30,0679999881
615;340172;D;HOPITAUX-FACULTES;0;0;0;Parc Zoologique Henry de Lunaret;;;;;BC;109;25,1504242309;36,4023500148
