Collectivite;Budget;Exercice;I_F;D_R;Nature;SousFonction;Exécuté;Libellé nature;Libellé fonction
VILLE;01;2011;F;D;6238;026;3899,99; DIVERS;CIMETIERES ET POMPES FUNEBRES
VILLE;01;2005;F;D;6241;412;1430,42; TRANSPORT DE BIENS;STADES
VILLE;01;2009;I;D;2313;048;2915,85; IMMOBILISATIONS EN COURS CONSTRUCTION;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
VILLE;01;2010;F;D;6714;048;19642,00; CHARGES EXCEPTIONNELLES SUR BOURSES ET PRIX;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
VILLE;01;2010;F;D;60623;112;6038,33; ALIMENTATION;POLICE MUNICIPALE
VILLE;01;2006;I;D;2188;822;147849,58; AUTRES IMMOBILISATIONS CORPORELLES AUTRES;VOIRIE COMMUNALE ET ROUTES
VILLE;01;2006;F;D;60631;64;37489,55; FOURNITURES D'ENTRETIEN;CRECHES ET GARDERIES
VILLE;01;2012;F;D;6188;211;64924,41; AUTRES FRAIS DIVERS;ECOLES MATERNELLES
VILLE;01;2005;F;D;6042;820;52888,36; ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER;SERVICES COMMUNS
VILLE;01;2008;F;D;64111;211;5185248,85; REMUNERATION PRINCIPALE PERSONNEL TITULAIRE;ECOLES MATERNELLES
VILLE;01;2009;F;D;6453;251;408004,30; COTISATIONS AUX CAISSES DE RETRAITES;HEBERGEMENT ET RESTAURATION SCOLAIRE
VILLE;01;2011;F;D;6251;048;77385,32; VOYAGES ET DEPLACEMENTS;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
VILLE;01;2011;I;D;2315;212;156108,30; IMMOBILISATIONS EN COURS INSTALLATIONS MATERIEL ET OUTILLAGE TECHNIQUE;ECOLES PRIMAIRES
VILLE;01;2006;F;D;6451;021;68071,63; COTISATIONS A L'URSSAF;ASSEMBLEE LOCALE
VILLE;01;2007;F;D;64731;822;18599,63; ALLOC CHOM;VOIRIE COMMUNALE ET ROUTES
VILLE;01;2009;I;D;2042;520;10000,00; SUBVENTIONS EQUIPEMENT AUX PERSONNES DE DROIT PRIVE;SERVICES COMMUNS
VILLE;01;2011;F;D;64731;422;21425,88; ALLOC CHOM;AUTRES ACTIVITES POUR LES JEUNES
VILLE;01;2008;I;R;275;;250000,00; AUTRES IMMOBILISATIONS FINANCIERES DEPOTS ET CAUTIONNEMENTS VERSES;
VILLE;01;2009;F;D;60632;415;12266,45; FOURNITURES DE PETIT EQUIPEMENT;MANIFESTATIONS SPORTIVES
VILLE;01;2007;F;D;61522;411;90921,01; ENTRETIEN ET REPARATIONS BATIMENTS;SALLES DE SPORT, GYMNASES
VILLE;01;2008;F;D;60631;212;95664,74; FOURNITURES D'ENTRETIEN;ECOLES PRIMAIRES
VILLE;01;2008;I;D;2183;251;68762,75; AUTRES IMMOBILISATIONS CORPORELLES MATERIEL DE BUREAU ET INFORMATIQUE;HEBERGEMENT ET RESTAURATION SCOLAIRE
VILLE;01;2010;I;R;1321;91;39506,70; SUBVENTIONS D' EQUIP NON TRANSFERABLES  ETAT & ETABLISSEMENT NATIONAUX;FOIRES ET MARCHES
VILLE;01;2012;F;D;6453;022;648532,91; COTISATIONS AUX CAISSES DE RETRAITES;ADMINISTRATION GENERALE DE L'ETAT
VILLE;01;2009;F;D;61522;048;10245,09; ENTRETIEN ET REPARATIONS BATIMENTS;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
VILLE;01;2009;F;D;617;820;24245,31; ETUDES ET RECHERCHES;SERVICES COMMUNS
