Exercice;I_F;D_R;Nature;Sous-fontion;Montant;Libellé fonction
2012;F;1;23;;23943003;
2012;F;1;6042;20;340200;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;1;6042;211;51500;ECOLES MATERNELLES
2012;F;1;6042;212;151470;ECOLES PRIMAIRES
2012;F;1;6042;40;512040;SERVICES COMMUNS
2012;F;1;6042;421;229241;CENTRES DE LOISIRS
2012;F;1;6042;422;73000;AUTRES ACTIVITES POUR LES JEUNES
2012;F;1;6042;64;2096550;CRECHES ET GARDERIES
2012;F;1;60611;20;859650;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;1;60611;26;18050;CIMETIERES ET POMPES FUNEBRES
2012;F;1;60611;412;18620;STADES
2012;F;1;60611;813;110000;PROPRETE URBAINE
2012;F;1;60611;816;170000;AUTRES RESEAUX ET SERVICES DIVERS
2012;F;1;60611;823;551000;ESPACES VERTS URBAINS
2012;F;1;60612;20;830300;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;1;60612;24;12833;FETES ET CEREMONIES
2012;F;1;60612;26;8300;CIMETIERES ET POMPES FUNEBRES
2012;F;1;60612;211;1066100;ECOLES MATERNELLES
2012;F;1;60612;251;105700;HEBERGEMENT ET RESTAURATION SCOLAIRE
2012;F;1;60612;30;103500;SERVICES COMMUNS
2012;F;1;60612;412;509400;STADES
2012;F;1;60612;422;376500;AUTRES ACTIVITES POUR LES JEUNES
2012;F;1;60612;64;181600;CRECHES ET GARDERIES
2012;F;1;60612;814;1997000;ECLAIRAGE PUBLIC
2012;F;1;60612;816;500;AUTRES RESEAUX ET SERVICES DIVERS
2012;F;1;60612;821;210000;EQUIPEMENTS DE VOIRIE
2012;F;1;60612;822;4000;VOIRIE COMMUNALE ET ROUTES
2012;F;1;60612;823;167900;ESPACES VERTS URBAINS
2012;F;1;60612;91;82600;FOIRES ET MARCHES
2012;F;1;60613;20;9000;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;1;60613;211;8700;ECOLES MATERNELLES
2012;F;1;60613;412;10200;STADES
2012;F;1;60621;20;119200;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;1;60621;26;11000;CIMETIERES ET POMPES FUNEBRES
2012;F;1;60621;822;3500;VOIRIE COMMUNALE ET ROUTES
