Exercice;I_F;D_R;Nature;Fonction; BP ;Libellé fonction
2014;F;D;616;20; 1 063 850,00    ;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2014;F;R;758;; 200,00    ;
2014;F;R;758;20; 661 600,00    ;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2014;F;R;758;21; 37 000,00    ;ASSEMBLEE LOCALE
2014;F;R;758;22; 77 000,00    ;ADMINISTRATION GENERALE DE L'ETAT
2014;F;R;758;23; 29 000,00    ;INFORMATION, COMMUNICATION, PUBLICITE
2014;F;R;758;24; 13 000,00    ;FETES ET CEREMONIES
2014;F;R;758;91; 127 550,00    ;FOIRES ET MARCHES
2014;F;R;758;816; 8 000,00    ;AUTRES RESEAUX ET SERVICES DIVERS
2014;F;R;758;820; 47 000,00    ;SERVICES COMMUNS
2014;F;R;758;821; 22 000,00    ;EQUIPEMENTS DE VOIRIE
2014;F;R;758;822; 185 000,00    ;VOIRIE COMMUNALE ET ROUTES
2014;F;R;758;823; 155 000,00    ;ESPACES VERTS URBAINS
2014;F;R;758;824; 4 000,00    ;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
2014;F;R;758;412; 40 000,00    ;STADES
2014;F;R;758;421; 2 000,00    ;CENTRES DE LOISIRS
2014;F;R;758;422; 106 800,00    ;AUTRES ACTIVITES POUR LES JEUNES
2014;F;R;758;64; 313 000,00    ;CRECHES ET GARDERIES
2014;F;R;758;810; 6 500,00    ;SERVICES COMMUNS
2014;F;R;758;814; 17 000,00    ;ECLAIRAGE PUBLIC
2014;F;R;758;30; 22 000,00    ;SERVICES COMMUNS
2014;F;R;758;312; 15 000,00    ;ARTS PLASTIQUES ET AUTRES ACTIVITES ARTISTIQUES
2014;F;R;758;313; 6 000,00    ;THEATRES
2014;F;R;758;323; 15 000,00    ;ARCHIVES
2014;F;R;758;40; 3 800,00    ;SERVICES COMMUNS
2014;F;R;758;411; 30 000,00    ;SALLES DE SPORT, GYMNASES
2014;F;R;758;48; 6 000,00    ;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
2014;F;R;758;112; 134 050,00    ;POLICE MUNICIPALE
2014;F;R;758;12; 16 000,00    ;HYGIENE ET SALUBRITE PUBLIQUE
2014;F;R;758;211; 20 000,00    ;ECOLES MATERNELLES
2014;F;R;758;212; 190 000,00    ;ECOLES PRIMAIRES
2014;F;R;758;251; 1 300,00    ;HEBERGEMENT ET RESTAURATION SCOLAIRE
2014;F;R;745;; 10 000,00    ;
2014;F;R;773;20; 2 000,00    ;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2014;I;D;202;20; 41 200,00    ;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2014;I;D;202;821; 80 000,00    ;EQUIPEMENTS DE VOIRIE
2014;I;D;202;824; 6 000,00    ;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
