"FID_1,N,9,0","Id,N,9,0","Nom,C,254","Adresse,C,254","QUARTMNO,C,2","LIBQUART,C,32","SQUARTMNO,C,3","LIBSQUART,C,25","Année,N,9,0"
17,0,C59.04,Lapeyronie,HO,HOPITAUX-FACULTES,HOP,Hopitaux-Facultés,2004
18,0,C94.07,Rond point de la Lyre,HO,HOPITAUX-FACULTES,PQS,Plan des 4 Seigneurs,2007
19,0,C70.05,Avenue Agropolis,HO,HOPITAUX-FACULTES,AIG,Aiguelongue,2005
20,0,C104.08,Avenue de Fès,HO,HOPITAUX-FACULTES,PQS,Plan des 4 Seigneurs,2008
34,0,C21.00,Pont Vincent Badie,MO,MOSSON,PAH,Les Hauts de Massane,2000
36,0,C37.02,Rue de la Narbonnaise,MO,MOSSON,PAH,Les Hauts de Massane,2002
37,0,C45.03,Rue Guilhem de Poitiers,MO,MOSSON,PAH,Les Hauts de Massane,2003
41,0,C80.05,Rue Pierre Cardenal,MO,MOSSON,PAH,Les Hauts de Massane,2005
44,0,C84.06,Palais des sports Pierre de Coubertin,MO,MOSSON,PAH,Les Hauts de Massane,2006
45,0,C85.06,Centre Commercial Triton,MO,MOSSON,PAH,Les Hauts de Massane,2006
46,0,C95.07,Rue de Bologne,MO,MOSSON,PAH,Les Hauts de Massane,2007
47,0,C105.08,Avenue Aglaé Adanson,MO,MOSSON,PAH,Les Hauts de Massane,2008
21,0,C16.00,Rue d'Alco,CV,LES CEVENNES,CVA,Alco,2000
22,0,C17.00,Rue Rimbaud,CV,LES CEVENNES,CVA,Alco,2000
23,0,C26.00,Avenue Louis Ravas,CV,LES CEVENNES,CVA,Alco,2000
24,0,C38.02,Impasse Edmond,CV,LES CEVENNES,CVA,Alco,2002
25,0,C44.02,Rue des Araucarias,CV,LES CEVENNES,CVA,Alco,2002
26,0,C55.03,Rue Jacques Dalcroze,CV,LES CEVENNES,CVA,Alco,2003
28,0,C96.07,Rue Rimbaud,CV,LES CEVENNES,CVA,Alco,2007
29,0,C97.07,Avenue Bringuier,CV,LES CEVENNES,CVA,Alco,2007
35,0,C36.02,Esplanade Celleneuve,MO,MOSSON,CVA,Alco,2002
31,0,C18.00,Le Grand Mail,MO,MOSSON,PAI,Mosson,2000
32,0,C19.00,Rue Heildelberg,MO,MOSSON,PAI,Mosson,2000
33,0,C20.00,Rue de Bologne,MO,MOSSON,PAI,Mosson,2000
38,0,C46.03,Avenue de Barcelone,MO,MOSSON,PAI,Mosson,2003
39,0,C47.03,Rue d'Oxford,MO,MOSSON,PAI,Mosson,2003
40,0,C79.05,Rond point Schuman,MO,MOSSON,PAI,Mosson,2005
42,0,C81.05,Rue de Tipasa,MO,MOSSON,PAI,Mosson,2005
43,0,C83.06,Avenue Heidelberg / Louisville,MO,MOSSON,PAI,Mosson,2006
48,0,C106.08,Collège Rabelais,MO,MOSSON,PAI,Mosson,2008
49,0,C114.08,Rue Saragosse/Salamanque,MO,MOSSON,PAI,Mosson,2008
113,0,C48.03,Rue de Leyde,MO,MOSSON,PAI,Mosson,2003
115,0,C118.11,Rond point René Char,MO,MOSSON,PAI,Mosson,2011
15,0,C64.04,Avenue Albert Einstein,MI,MILLENAIRE,MIG,Grammont,2004
27,0,C60.04,Voie Domitienne,MC,MONTPELLIER CENTRE,MCB,Boutonnet,2004
