"OBJECTID,N,10,0","IDENT,C,254","NOM,C,254","VLEGALE,N,19,8","REF,C,254","DDEBUT,D","DFIN,D","SENS,C,254","PHJM,N,19,8","PHJS,N,19,8","TJM,N,19,8","COMMENTAIR,C,254","MOIS,N,19,8","ANNEE,N,19,8","TYPECOMPTA,C,50","IDENTSIG,N,19,10"
2220,9999TR9999,Voie non dénommée,50,1600_001_01,08/01/11,14/01/11,Hospice-Diacon,25,8,47,#N/A,1,2011,Magnétique,9999
2095,9999TR,Voie non dénommée,50,219_003_01,18/06/10,24/06/10,Vanières-Lavérune,50,48,456,#N/A,6,2010,Pneumatique,0
2086,9999TR,Voie non dénommée,50,1561_004_01,18/06/10,24/06/10,Hébert-Danton,53,60,481,#N/A,6,2010,Magnétique,0
2087,9999TR,Voie non dénommée,50,1562_005_02,18/06/10,24/06/10,Danton-Hébert,32,33,238,#N/A,6,2010,Magnétique,0
1426,9999TR99999,Voie non dénommée,50,223_001_01,29/03/08,04/04/08,Parking-Causse,92,131,1060,#N/A,3,2008,Pneumatique,99999
1421,9999TR99999,Voie non dénommée,50,210_002_01,29/03/08,04/04/08,Garrats-Liberté,353,417,4134,#N/A,3,2008,Pneumatique,99999
1425,9999TR99999,Voie non dénommée,50,224_001_01,29/03/08,04/04/08,Liberté-Parking,109,129,992,#N/A,3,2008,Pneumatique,99999
1420,9999TR99999,Voie non dénommée,50,204_002_02,29/03/08,04/04/08,Garrats-Liberté,134,179,1814,#N/A,3,2008,Pneumatique,99999
1419,9999TR99999,Voie non dénommée,50,204_002_01,29/03/08,04/04/08,Liberté-Recambale,192,244,1588,#N/A,3,2008,Pneumatique,99999
1418,9999TR99999,Voie non dénommée,50,220_001_02,29/03/08,04/04/08,Recambale-Liberté,204,254,2077,#N/A,3,2008,Pneumatique,99999
1417,9999TR99999,Voie non dénommée,50,220_001_01,29/03/08,04/04/08,Liberté-Garrats,337,318,3920,R.A.S,3,2008,Pneumatique,99999
1416,9999TR99999,Voie non dénommée,50,215_004_01,29/03/08,04/04/08,Dezeuze-Garrats,171,162,1217,#N/A,3,2008,Pneumatique,99999
1415,9999TR99999,Voie non dénommée,50,209_008_01,29/03/08,04/04/08,Liberté-Garrats,225,205,2183,#N/A,3,2008,Pneumatique,99999
1414,9999TR99999,Voie non dénommée,50,225_001_01,29/03/08,04/04/08,Recambale-Liberté,236,217,1658,#N/A,3,2008,Pneumatique,99999
1413,9999TR99999,Voie non dénommée,50,213_004_01,29/03/08,04/04/08,Liberté-Recambale,329,376,3842,#N/A,3,2008,Pneumatique,99999
1427,9999TR99999,Voie non dénommée,50,221_001_01,29/03/08,04/04/08,Parking-Garrats,52,75,458,#N/A,3,2008,Pneumatique,99999
1198,9999TR99999,Voie non dénommée,50,212_002_01,24/01/07,30/01/07,Dubout-Fabreges,68,69,518,#N/A,1,2007,Pneumatique,99999
1199,9999TR99999,Voie non dénommée,50,212_002_02,24/01/07,30/01/07,Fabreges-Dubout,170,134,1261,#N/A,1,2007,Pneumatique,99999
953,9999TR,Voie non dénommée,50,105_002_01,20/01/06,26/01/06,Usine-Carrefour,24,29,80,#N/A,1,2006,Pneumatique,0
757,9999TR,Voie non dénommée,50,1933_003_01,12/10/04,18/10/04,Prefecture-Foch,97,81,707,#N/A,10,2004,Pneumatique,0
756,9999TR,Voie non dénommée,50,1934_002_01,12/10/04,18/10/04,Resistance-Prefecture,234,82,1045,#N/A,10,2004,Pneumatique,0
748,9999TR,Voie non dénommée,50,1933_002_01,21/09/04,27/09/04,Prefecture-Foch,136,91,780,#N/A,9,2004,Pneumatique,0
752,9999TR,Voie non dénommée,50,1560_001_01,21/09/04,27/09/04,Parking-Resistance,83,108,928,#N/A,9,2004,Pneumatique,0
751,9999TR,Voie non dénommée,50,1934_001_01,21/09/04,27/09/04,Resistance-Pietonne,231,98,1134,#N/A,9,2004,Pneumatique,0
749,9999TR,Voie non dénommée,50,845_010_01,21/09/04,27/09/04,Resistance-Pietonne,248,146,1234,#N/A,9,2004,Pneumatique,0
366,9999TR99999,Voie non dénommée,50,LANG.002,16/03/00,22/03/00,Montmorency-Olympie,318,326,3237,#N/A,3,2000,Pneumatique,99999
368,9999TR99999,Voie non dénommée,50,PERT.002,16/03/00,22/03/00,Languedoc-Michelet,258,182,1871,#N/A,3,2000,Pneumatique,99999
367,9999TR99999,Voie non dénommée,50,PARK.002,16/03/00,22/03/00,Parking-Olympie,392,541,4643,#N/A,3,2000,Pneumatique,99999
358,9999TR99999,Voie non dénommée,50,CLAR.032,25/01/00,31/01/00,Claret-Liberte,255,102,1616,#N/A,1,2000,Pneumatique,99999
357,9999TR99999,Voie non dénommée,50,CLAR.022,25/01/00,31/01/00,Liberte-Claret,497,344,4638,#N/A,1,2000,Pneumatique,99999
342,9999TR99999,Voie non dénommée,50,CAUS.004,09/10/99,15/10/99,Garrats-Causse,461,466,4068,#N/A,10,1999,Pneumatique,99999
344,9999TR99999,Voie non dénommée,50,DEZE.002,09/10/99,15/10/99,Rosier-Garrats,414,378,3279,#N/A,10,1999,Pneumatique,99999
343,9999TR99999,Voie non dénommée,50,CAUS.003,09/10/99,15/10/99,Causse-Garrats,299,301,3267,#N/A,10,1999,Pneumatique,99999
345,9999TR99999,Voie non dénommée,50,DEZE.012,09/10/99,15/10/99,Garrats-Liberte,83,144,1084,#N/A,10,1999,Pneumatique,99999
289,9999TR99999,Voie non dénommée,50,BOIR.024,15/01/99,21/01/99,Parking-Marie,156,227,1269,#N/A,1,1999,Pneumatique,99999
300,9999TR99999,Voie non dénommée,50,LODE.012,28/01/99,03/02/99,Celleneuve-Liberte,593,876,8373,#N/A,1,1999,Pneumatique,99999
126,9999TR99999,Voie non dénommée,50,ZENI.071,03/04/97,09/04/97,A9-Zenith,1315,686,9360,#N/A,4,1997,Pneumatique,99999
100,9999TR99999,Voie non dénommée,50,ZENI.021,06/03/97,12/03/97,Zenith-A9,1084,1070,9923,#N/A,3,1997,Pneumatique,99999
103,9999TR99999,Voie non dénommée,50,ZENI.051,06/03/97,12/03/97,Gramont-Mendes,738,398,4258,#N/A,3,1997,Pneumatique,99999
3108,910TR4360,Voie Domitienne,9999,CT30_2013-03-18.xls,18/03/13,24/03/13,Père Soulas-Sabatier,414,350,4324,,3,2013,Regulation,4360
3231,910TR4360,Voie Domitienne,9999,CT30_2013-03-18.xls,18/03/13,24/03/13,Père Soulas-Sabatier,414,350,4324,,3,2013,Regulation,4360
2889,910TR4360,Voie Domitienne,9999,CT30_2012-11-19.xls,19/11/12,25/11/12,Père Soulas-Sabatier,406,338,4403,0,11,2012,Regulation,4360
2828,910TR4360,Voie Domitienne,9999,CT30_2012-03-19.xls,19/03/12,25/03/12,Père Soulas-Sabatier,406,342,4415,0,3,2012,Regulation,4360
2396,910TR4360,Voie Domitienne,50,1600_005_01,12/04/11,18/04/11,Marès-Espeyran,513,471,5968,#N/A,4,2011,Magnétique,4360
2397,910TR4360,Voie Domitienne,50,2021_001_01,12/04/11,18/04/11,Marès-Espeyran,494,470,6050,#N/A,4,2011,Magnétique,4360
2398,910TR4360,Voie Domitienne,50,1589_005_02,12/04/11,18/04/11,Espeyran-Marès,692,432,4592,#N/A,4,2011,Magnétique,4360
2399,910TR4360,Voie Domitienne,50,1562_005_02,12/04/11,18/04/11,Espeyran-Marès,443,564,6654,#N/A,4,2011,Magnétique,4360
2345,910TR4360,Voie Domitienne,9999,CT30_2011-03-21.xls,21/03/11,27/03/11,Père Soulas-Sabatier,389,348,4226,0,3,2011,Regulation,4360
214,910TR4360,Voie Domitienne,50,DOMI.002,18/11/97,24/11/97,Martin-Mares,1067,1289,1148,#N/A,11,1997,Pneumatique,4360
215,910TR4360,Voie Domitienne,50,DOMI.012,18/11/97,24/11/97,Martin-Ventre,212,246,2363,#N/A,11,1997,Pneumatique,4360
3126,3314TR6479,Viaduc Alphonse Loubat,50,2297_008_01,14/05/13,20/05/13,Citadelle_Nîmes,611,940,7421,#N/A,5,2013,Magnétique,6479
2743,3314TR6479,Viaduc Alphonse Loubat,50,2291_005_01,12/10/12,18/10/12,Citadelle-Nîmes,269,321,3704,#N/A,10,2012,Magnétique,6479
2686,3314TR6479,Viaduc Alphonse Loubat,50,2291_002_01,07/09/12,13/09/12,Citadelle-Nîmes,279,442,4269,#N/A,9,2012,Magnétique,6479
2673,3314TR6479,Viaduc Alphonse Loubat,50,2017_012_01,17/08/12,23/08/12,Citadelle-Nîmes,259,433,4422,#N/A,8,2012,Magnétique,6479
1121,3314TR,Viaduc Alphonse Loubat,50,208_007_01,23/09/06,29/09/06,Citadelle-Nimes,486,591,5151,#N/A,9,2006,Pneumatique,0
1040,3314TR,Viaduc Alphonse Loubat,50,203_006_01,10/05/06,16/05/06,Citadelle-Nimes,313,550,4412,#N/A,5,2006,Pneumatique,0
2274,2517TR207,Tunnel du Corum,50,217_001_01,17/02/11,23/02/11,Blanc-11Novembre,226,133,1121,#N/A,2,2011,Pneumatique,207
766,2517TR207,Tunnel du Corum,50,1937_002_01,12/10/04,18/10/04,Blanc-Corum,140,223,1895,#N/A,10,2004,Pneumatique,207
2730,2481TR5401,Tunnel de la Comédie,50,2297_003_01,15/10/12,21/10/12,Hugo-Tunnel,376,373,4632,#N/A,10,2012,Magnétique,5401
2729,2481TR5401,Tunnel de la Comédie,50,2332_003_01,15/10/12,21/10/12,Hugo-Tunnel,369,351,4541,#N/A,10,2012,Magnétique,5401
2728,2481TR5401,Tunnel de la Comédie,50,2327_003_01,15/10/12,21/10/12,Parking-Tunnel,217,196,1504,#N/A,10,2012,Magnétique,5401
2727,2481TR5401,Tunnel de la Comédie,50,2274_003_01,15/10/12,21/10/12,Tunnel-parking,80,157,912,#N/A,10,2012,Magnétique,5401
2731,2481TR5401,Tunnel de la Comédie,50,2335_003_01,15/10/12,21/10/12,Tunnel-michelet,210,249,2240,#N/A,10,2012,Magnétique,5401
2590,2481TR5401,Tunnel de la Comédie,50,1589_004_01,16/03/12,22/03/12,Hugo-Tunnel,209,487,6069,#N/A,3,2012,Magnétique,5401
