"DOSSIER,N,31,15","NOM,C,42","NOMCOURT,C,20","CRéaTION,C,10","DOM_PUBLIC,C,10","TOTALE,N,31,15","CATÉGORIE,C,9","VILLE,C,3","XCOORD,N,31,15","YCOORD,N,31,15","ADRESSE,C,59","TRAML1,C,47","BUS,C,36","ACCESSIBIL,C,3","HANDICAPés,C,3","QUARTIER,C,17","LIBPROPRI,C,22"
1,Esplanade Paul Valéry,Esplanade Valéry,19840101,19840101,11905,Parc,F7,"3,844234","43,598476",Rte de Lavérune,3 - Jules Guesde - 1444 m,15 - Collège Marcel Pagnol - 169 m,Oui,Non,Croix d'Argent,Ville de Montpellier
2,Pinède Mosson,Pinède Mosson,19780101,19780101,48860,Bois,B14,"3,817989","43,631078",Ave de bologne.,1 - Saint-Paul - 218 m,15 - Gémeaux - 397 m,Oui,Oui,La Mosson,Ville de Montpellier
5,Berges du Lez Promenades,Lez Promenades,19850101,19850101,18250,Berges,N8,"3,896179","43,602089",Avenue de la mer,1 - Moularès - 177 m,9 - Saint-Michel - 492 m,Oui,Oui,Port Marianne,Ville de Montpellier
7,Petit bois de la Colline,Petit bois Colline,19830101,19830101,20810,Bois,F9,"3,840223","43,605293",Rue de la croix de Figuerolles,3 - Jules Guesde - 869 m,7 - Martellière - 263 m,Oui,Oui,Les Cévennes,Ville de Montpellier
8,Parc Bonnier de la Mosson,Bonnier de la Mosson,19840101,19840101,161504,Parc,,"3,81957","43,612616","Route de Lodève, 80 Allée de la Mosson",,,Non,Non,La Mosson,Autre entité publique
9,Parc Sophie Desmarets,Mas de la Paillade,19780101,19780101,26289,Parc,B13,"3,816142","43,627859",1321 Avenue d'Heildelberg,1 - Halles de la Paillade - 146 m,15 - Halles de la Paillade - 101 m,Oui,Oui,La Mosson,Ville de Montpellier
10,Lac des Garrigues,Lac des Garrigues,19620101,19620101,106008,Bois,B16,"3,816795","43,639565","Ave de Naples, ave Guilhem de Poitiers",1 - Hauts de Massane - 614 m,15 - Pierre Cardenal - 204 m,Oui,Non,La Mosson,Ville de Montpellier
11,Parc Edith Piaf,Parc Edith Piaf,19881201,19881201,9313,Parc,M12,"3,888533","43,622331",Avenue St Lazare,2 - Jeu de Mail des Abbés - 427 m,14 - Boulevard des Sports - 327 m,Oui,Oui,Centre,Ville de Montpellier
13,Parc de la Guirlande,Parc Guirlande,01/01/1850,19780101,11620,Parc,i9,"3,860914","43,607575",2 pl Agrippa d' Aubinier - Rue Tour Gayraud,3 - Les Arceaux - 315 m,11 - Claret - 219 m,Oui,Oui,Centre,Ville de Montpellier
14,Parc Rimbaud,Parc Rimbaud,01/01/1880,01/01/1880,23517,Parc,N11,"3,894417","43,618053",64 Rue St André de Novigens,2 - Pompignane - 657 m,14 - Foyer des Aubes - 48 m,Oui,Oui,Centre,Ville de Montpellier
