"AREA_,N,19,8","PERIMETER,N,19,8","PARCJARD_,N,10,0","PARCJARD_I,N,10,0","PARCJARD_P,N,19,8","PARCJARD_1,N,19,8","PARCJARD1,N,10,0","PARCJARD_2,N,10,0","PARCJARD_3,N,19,8","PARCJARD_4,N,19,8","PARCJARD1_,N,10,0","PARCJARD_5,N,10,0","DOSSIER,C,30","SURF,N,19,8","LIBEL,C,254","CLASS,C,254","SYMBOLE,N,10,0","AREA,N,19,11","LEN,N,19,11"
"82,82117356","48,87033192",69,69,"82,82117356","48,87033192",69,69,"82,82117356","48,87033192",676,681,,0,,EV,67,"82,88773","48,890419"
"87,60367929","33,22276944",70,70,"87,60367929","33,22276944",70,70,"87,60367929","33,22276944",675,680,,0,Esplanade Pierre Paraf,EV,67,"87,67495","33,236281"
"4975,96277831","469,8199165",71,71,"4975,96277831","469,8199165",71,71,"4975,96277831","469,8199165",674,679,,0,Mail Alain Bashung,EV,67,"4979,99299","470,012267"
"1674,74259802","167,32454048",72,72,"1674,74259802","167,32454048",72,72,"1674,74259802","167,32454048",673,678,,0,Square d'Arsonval,EV,67,"1676,10358","167,392348"
"5569,07251472","1177,84534102",73,73,"5569,07251473","1177,84534102",73,73,"5569,07251474","1177,84534102",672,677,,0,Berges du Rieucoulon,EV,67,"5573,6008","1178,322875"
"107,29758945","49,45835564",74,74,"107,29758945","49,45835564",74,74,"107,29758945","49,45835564",671,675,,0,Espace chiens Bagatelle,EV,67,"107,38572","49,478688"
"368,87598351","101,14679207",75,75,"368,87598351","101,14679207",75,75,"368,87598351","101,14679207",669,671,,0,Esplanade Pierre Paraf,EV,67,"369,17524","101,188381"
"2682,91194851","459,81435862",76,76,"2682,91194851","459,81435862",76,76,"2682,91194851","459,81435862",668,670,,0,Square Fabre de Morlhon,EV,67,"2685,0856","460,001292"
"2499,23062553","633,57712576",77,77,"2499,23062553","633,57712576",77,77,"2499,23062553","633,57712576",667,669,,0,Esplanade Pierre Paraf,EV,67,"2501,26237","633,837314"
"2690,33954743","184,04507123",78,78,"2690,33954742","184,04507123",78,78,"2690,33954742","184,04507123",666,668,,0,,EV,67,"2692,51903","184,119546"
"982,79548757","126,6231788",79,79,"982,79548757","126,6231788",79,79,"982,79548757","126,6231788",665,667,,0,Square bd Paul Valéry,EV,67,"983,58709","126,674241"
