CDCOL,C,254;LIBEL,C,254;CDRUE,N,19,11;NORUE,N,19,11;BIS,C,254;FAMILLE,C,2;SFAMILLE,C,2;LIBTRI,C,64;COORD1_05,C,4;COORD2_05,C,4;PLAN_05,C,2;RUBRIQUE,C,12;HISCLEPATR,C,8;STATUT,C,4;CODCOMM,C,6;CDRUB,N,9,0;TMPFID,N,9,0;DELTA_CAT,C,50;DELTA_SSCA,C,50;Page_PR,C,2;Astech,C,10;QUARTIER,N,9,0;SQUARTIER,N,9,0;CANTON,N,9,0;FAMIL_DESC,C,254;SFAMI_DESC,C,254;STATU_DESC,C,254;DELTA_DESC,C,254;DELTA_DE_1,C,254
7;Lycée Frederic Bazille;1518;3224;;25;20;25-20-Lycée Frederi Bazille;I17;;4;ADM.EDUC.NAT;70009600;LR;340172;2515;480;Enseignement;Lycées;04;70009600;1;2;2;25;20;LR;Enseignement;Lycées
0;Ecole maternelle Agrippa d'Aubigné;1833;147;;22;10;22-10-Ecole maternelle Agrippa d'Aubigné;H16;;9;ECOLES;00028003;M;340172;2207;271;Enseignement;Ecoles préélementaires;09;951;1;2;2;22;10;M;Enseignement;
0;Terrain de base-ball Veyrassy;1834;379;;40;10;40-10-Terrain de base-ball Veyrassy;H16;;9;EQUIP.SPORT;00019400;M;340172;4000;6;Sport;Stades;09;831;1;2;2;40;10;M;Sport;Stades
0;Ecole élémentaire Docteur Calmette;1833;147;;22;20;22-20-Ecole élémentaire Docteur Calmette;H16;;9;ECOLES;00027904;M;340172;2217;270;Enseignement;Ecoles élémentaires;09;947;1;2;2;22;20;M;Enseignement;Ecoles élémentaires
0;Terrain de foot Veyrassy;1834;379;;40;10;40-10-Terrain de foot Veyrassy;G16;H16;9;EQUIP.SPORT;00139400;M;340172;4000;24;Sport;Stades;09;139400;1;2;2;40;10;M;Sport;Stades
0;Terrain de football americain Veyrassy;1109;0;;40;10;40-10-Terrain de football americain Veyrassy;G16;H16;9;EQUIP.SPORT;00253300;M;340172;4000;635;Sport;Stades;09;1539;1;2;2;40;10;M;Sport;Stades
0;Marché du Plan des 4 Seigneurs;1277;99999;;70;20;70-20-Marché du Plan des 4 Seigneurs;H16;;9;HALLES/MCH;00160500;M;340172;7000;192;Vie des quartiers;Halles et marchés;09;160500;1;2;2;70;20;M;Vie des quartiers;Halles et marchés
7;C.H.U Bellevue;1277;1;;90;10;90-10-C.H.U Bellevue;H16;I16;9;ADM.SANTE AS;70016000;E;340172;9000;529;Administrations et organismes divers;Santé;09;39070;1;2;2;90;10;E;Administrations et organismes divers;Santé
0;Square Jean Baumel;1833;99999;;60;10;60-10-Square Jean Baumel;H16;;9;PARCS/JARDIN;00209800;M;340172;6000;111;Culture et loisirs;Parcs et jardins;09;209800;1;2;2;60;10;M;Culture et loisirs;
;Centre International des Hautes Etudes Agronomiques;1518;0;;27;10;27-10-Centre International des Hautes Etudes Agronomiques;I17;;;ADM.EDUC.NAT;;E;340712;0;0;Enseignement;Enseignement supérieur;04;TA93;1;2;2;27;10;E;Enseignement;
;I.R.D;2741;0;;27;10;27-10-I.R.D;J17;;;ADM.EDUC.NAT;;E;340712;0;0;Enseignement;Enseignement supérieur;04;39645;1;2;2;27;10;E;Enseignement;
;Musée Agropolis;2741;0;;50;10;50-10-Musée Agropolis;J17;;;QUART.CULTU;;MA;340712;0;0;Culture et loisirs;Culture et monuments;04;274;1;2;2;50;10;MA;Culture et loisirs;Culture et monuments
;U.F.R.S.T.A.P.S;3124;0;;27;10;27-10-U.F.R.S.T.A.P.S;H16;;;ADM.EDUC.NAT;;E;340712;0;0;Enseignement;Enseignement supérieur;09;38954;1;2;2;27;10;E;Enseignement;
;Crèche associative Ginkgo-Biloba;1518;2256;;21;10;21-10-Crèche associative Ginkgo-Biloba;I16;;;CRECH/HGARD;;P;340172;0;0;Vie des quartiers;Petite enfance;10;;1;2;2;21;10;P;Vie des quartiers;Petite enfance
0;Bois de Montmaur;2093;0;;60;10;60-10-Bois de Montmaur;J16;;10;PARCS/JARDIN;00159500;M;340172;6000;44;Culture et loisirs;Parcs et jardins;10;159500;1;3;2;60;10;M;Culture et loisirs;
