N° Election;Election;Code Commune;Commune;N° Bureau;Bureau;Circonscritpion;Canton;Inscrits;Votants;Nuls;Blancs;Exprimés;Procurations;N° Candidat;Candidat;Nombre de Voix
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;1;Maison des Relations Internationales;2;01;910;370;1;2;367;12;1;Liste HONDEMA-MOKRANE Faïrouz                     ;0
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;1;Maison des Relations Internationales;2;01;910;370;1;2;367;12;2;Liste TORREMOCHA Sandra                           ;0
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;1;Maison des Relations Internationales;2;01;910;370;1;2;367;12;3;Liste TELLECHEA Jean                              ;0
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;1;Maison des Relations Internationales;2;01;910;370;1;2;367;12;4;Liste COUROSSE Gaël                               ;0
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;1;Maison des Relations Internationales;2;01;910;370;1;2;367;12;5;Liste ALIOT Louis                                 ;36
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;1;Maison des Relations Internationales;2;01;910;370;1;2;367;12;6;Liste ROCHEFORT Robert                            ;23
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;1;Maison des Relations Internationales;2;01;910;370;1;2;367;12;7;Liste MARTY Philippe                              ;6
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;1;Maison des Relations Internationales;2;01;910;370;1;2;367;12;8;Liste PRADALIER Nicole                            ;0
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;1;Maison des Relations Internationales;2;01;910;370;1;2;367;12;9;Liste MELENCHON Jean-Luc                          ;32
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;1;Maison des Relations Internationales;2;01;910;370;1;2;367;12;10;Liste HUSSET Marie Jeanne                         ;6
277;Election du Parlement Européen - Scrutin du 25 Mai 2014;34172;Montpellier;1;Maison des Relations Internationales;2;01;910;370;1;2;367;12;11;Liste MAHUET Eric                                 ;4
