ID,C,8;NOM,C,26;LOCALIS,C,70;QUARTIER,C,32;CANTON,N,5,0;TYPE_D_OPÉ,C,16;MAIT_OUV,C,32;MAIT_OEU,C,32;REAL_,C,32;COUT,N,19,8;CRE_DATE,N,19,8;GESTION_,C,16;COÛT_FONCT,N,19,8;ETAT,C,16
1;Baumel;place Jean Baumel;Hôpitaux-Facultés;2;création;DAP;DGU;Ent. Jeanjean Namer Thomas;270;1988;GE;0;en fonction
2;Aiguelongue;Rue  de Montasinos;Hôpitaux-Facultés;3;création;DAP;DGU;Ent. Roure;486;1989;GE;0;en fonction
3;Grand Mail;Grand mail;La Paillade;9;création;;;Borel;0;1987;GE;0;en fonction
4;Baroncelli;Parc de baroncelli;La Paillade;9;réaménagement;DGU;DGU;Ent. Jeanjean Sogea;200;1988;GE;0;en fonction
5;Renaudel;place Renaudel;La Paillade;10;réaménagement;DAP;DGU;Ent TP D' Orques;80;1986;GE;0;en fonction
6;Galot;Place Marcel Galot;Les Cévennes;10;création;DAP;DGU;Jeanjean;662;1989;GE;0;en fonction
7;Petit Bard;Square Guillaume Apollinaire;Les Cévennes;7;création;DAP;DGU;Roure;226;1988;GE;0;en fonction
8;Paul Valery;Route de Lavérune;Croix d'Argent;6;création;DAP;DGU;Jeanjean;330;1988;GE;0;en fonction
9;Tastavin;Parc de Tastavin;Montpellier Centre;1;création;DAP;DGU;Ent. Jeanjean;15;1987;GE;0;en fonction
10;Saint Cléophas;rue du Mas Lemasson;Croix d'Argent;6;création;DAP;DGU;Jeanjean Namer Thomas;247;1988;GE;0;en fonction
11;Saint Martin;Av. du Maréchal Leclerc;Près d'Arènes;5;création;DAP;DGU;Jeanjean Namer Thomas;263;1988;GE;0;en fonction
12;Tournezy;Place Tibériade;Près d'Arènes;5;création;DAP;DGU;Jeanjean;384;1988;GE;0;en fonction
13;Parc Rimbaud;Av. de Saint Maur;Montpellier Centre;1;création;DAP;DGU;Ent. Olivier;100;1987;GE;0;en fonction
14;Pompignane;Avenue Alphonse Juin;Millénaire;4;création;DAP;DGU;Ent. Roure;262;1988;GE;0;en fonction
15;Z.A.C. de la Fontaine;Celleneuve;La Paillade;10;création;SERM;DGU;Jeanjean;3000;1991;GE;0;en fonction
16;La Licorne;Place de la Carnourgue;Montpellier Centre;1;réaménagement;;;d'Antoine;0;1776;GE;0;en fonction
17;Chabaneau;place Chabaneau;Montpellier Centre;1;réaménagement;;;Journet;0;1776;GE;0;en fonction
18;Préfecture;Place des Martyres de la Résistance;Montpellier Centre;1;réaménagement;;;Ent. Saltet;0;1975;GE;0;en fonction
19;Marché au fleurs;Place du Marché aux fleurs;Montpellier Centre;1;création;DAP;DGU;Ent. Jeanjean Guinet Derriaz;169;1984;GE;0;en fonction
20;Saint Roch;place Saint Roch;Montpellier Centre;1;création;DAP;DGU;Guillard Dimicelli Font de Paris;356;1988;GE;0;en fonction
21;Saint Ravy;Place Saint Ravy;Montpellier Centre;1;réaménagement;DGU;DGU;Saltet;0;1975;GE;0;en fonction
22;Chambre de Commerce;Grand rue Jean Moulin;Montpellier Centre;1;réaménagement;DGU;DGU;Voinchet;80;1983;GE;0;en fonction
23;Saint Denis;Place Saint Denis;Montpellier Centre;1;réaménagement;DGU;DGU;Ent. Olivier;35,4;1987;GE;0;en fonction
24;Jules Ferry;Jules Ferry _ Verdun;Montpellier Centre;1;création;;;Ent. Olivier;0;1988;;0;déposée
25;Les Trois Graces;Place de la Comédie;Montpellier Centre;1;réaménagement;;;;0;1797;GE;0;en fonction
27;Gaumont;Place de l'Esplanade;Montpellier Centre;1;création;DAP;DGU;Ent. Olivier;1490;1988;GE;0;en fonction
28;Corum;Place de l'Esplanade;Montpellier Centre;1;création;DAP;DGU;Ent Olivier;1490;1988;GE;0;en fonction
29;Verdanson;Place du 11 Novembre;Montpellier Centre;3;création;DAP;DGU;Ent Nazon Jeanjean;2800;1985;GE;0;en fonction
30;Olympie;Place de l'Olympie;Montpellier Centre;1;création;DAP;DGU;Jeanjean;450;1988;GE;0;en fonction
