DOSSIER,N,11,0;DE_JEUX,N,11,0;NOM_AIRE,C,32;TOTAL_JEUX,N,11,0;_1_à_4_ANS,N,11,0;_1_à_5_ANS,N,11,0;_1_à_6_ANS,N,11,0;à_15_ANS,N,11,0;14_ET_PLUS,N,11,0;2_à_10_ANS,N,11,0;2_à_12_ANS,N,11,0;à_15__ANS,N,11,0;_2_à_4_ANS,N,11,0;_2_à_5_ANS,N,11,0;_2_à_6_ANS,N,11,0;_2_à_7_ANS,N,11,0;_2_à_8_ANS,N,11,0;3_à_12_ANS,N,11,0;à_15__AN0,N,11,0;_3_à_6_ANS,N,11,0;_3_à_7_ANS,N,31,15;_3_à_8_ANS,N,31,15;_3_à_9_ANS,N,31,15;4_à_10_ANS,N,31,15;4_à_12_ANS,N,31,15;à_15__AN1,N,31,15;_4_à_6_ANS,N,31,15;_4_à_8_ANS,N,31,15;5_à_12_ANS,N,31,15;_5_à_8_ANS,N,31,15;6_à_12_ANS,N,31,15;6_à_14_ANS,N,31,15;à_15__AN2,N,31,15;7_à_14_ANS,N,31,15;LONGITUDE,N,31,15;LATITUDE,N,31,15
1;1;Esplanade Paul Valéry;9;0;1;0;0;0;1;0;0;0;0;3;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;3,846286;43,599239
7;2;Aire du Petit Bois;7;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;3,840232;43,605288
9;3;Aire du Mas de la Paillade;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;2;0;0;0;0;0;3,81615;43,627853
11;4;Parc Edith Piaf;4;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3,888388;43,622217
13;5;Parc de la Guirlande;5;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3,860929;43,607974
14;6;Parc Rimbaud;7;0;0;0;0;0;0;0;0;0;0;1;0;3;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;3,894425;43,618048
16;8;Parc Sainte Odile;7;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0;0;0;0;3,871725;43,62481
35;11;Aire de jeux Brassens (basse);5;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;3,812949;43,636962
36;14;Aire de Louisville;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;1;0;0;3,815174;43,622784
47;16;Square François Deuzeuze;4;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,839686;43,607743
49;18;Square des Arceaux;5;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3,860929;43,611969
67;20;Parc Magnol;5;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,862917;43,617431
69;21;Parc Azema;4;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3,828396;43,615705
954;22;Esplanade de la Musique;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;1;0;0;0;0;0;3,881877;43,616976
143;23;Grand Mail;4;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3,816504;43,622825
144;24;Square Maquis Bir-Hakeim;4;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3,858997;43,61107
261;27;Square Jouanique Coliny;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3,852441;43,616019
280;30;Parc de Bagatelle;9;0;0;0;1;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3,839156;43,594371
334;32;Aire Vert-Bois;8;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;3,868144;43,639383
460;33;Parc Chico Mendez;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;3,822957;43,631569
531;34;Parc du Mas Prunet;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,832633;43,59814
679;35;Aire de jeu Pierre Paraf;7;0;0;0;0;0;0;0;0;0;0;4;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,845259;43,595227
22;38;Parc de la Rauze;8;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;1;0;0;0;0;3,896121;43,590333
57;39;Aire du Clos des Orangers;4;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3,853747;43,600397
62;40;Parc Enclava del lop;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;3,846823;43,600579
65;42;Parc des Aiguerelles;7;0;0;0;0;0;0;0;2;0;0;1;0;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3,891781;43,598158
76;43;Square Jean Baumel;4;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3,85819;43,640658
