"VOI_NUM,N,9,2","ACV_NUM,N,9,2","X,N,13,5","Y,N,14,5","ACC_TBAN,C,3","ACC_TACC,C,3","DATE_,C,12","RIVOLI,C,10","ID_PP,N,10,0"
1208,2563,765600,6281000,OUI,OUI,"""18-10-2010""",1208,201
1382,2559,765700,6281000,OUI,OUI,"""18-10-2010""",1382,202
1382,2492,765700,6281000,NON,NON,"""18-10-2010""",1382,203
1808,2512,766500,6281000,NON,NON,"""18-10-2010""",1808,204
1808,6389,767100,6281000,TVX,TVX,"""18-10-2010""",1808,205
1431,3630,767200,6281000,OUI,OUI,"""18-10-2010""",1431,206
1431,3630,767200,6281000,OUI,OUI,"""18-10-2010""",1431,207
1431,6216,767100,6282000,OUI,NON,"""18-10-2010""",1431,208
2390,2418,766600,6280000,OUI,OUI,"""18-10-2010""",2390,209
1781,2143,767300,6279000,OUI,OUI,"""18-10-2010""",1781,210
1781,2140,767300,6279000,OUI,OUI,"""18-10-2010""",1781,211
617,2141,767300,6279000,OUI,OUI,"""18-10-2010""",617,212
2574,2175,766900,6279000,NON,NON,"""18-10-2010""",2574,213
1182,2176,766900,6279000,OUI,OUI,"""18-10-2010""",1182,214
1525,4897,768300,6279000,OUI,OUI,"""18-10-2010""",1525,215
949,4923,768300,6279000,OUI,OUI,"""18-10-2010""",949,216
1584,3863,768300,6279000,OUI,OUI,"""18-10-2010""",1584,217
1812,12152,768900,6279000,OUI,OUI,"""18-10-2010""",1812,218
765,3828,769500,6280000,NON,NON,"""18-10-2010""",765,219
1414,4550,769400,6280000,NON,OUI,"""18-10-2010""",1414,220
2153,4797,769100,6279000,TVX,TVX,"""18-10-2010""",2153,221
2028,4816,769000,6280000,OUI,NON,"""18-10-2010""",2028,222
1568,2440,767000,6280000,NON,NON,"""18-10-2010""",1568,223
1380,14732,766300,6280000,TVX,TVX,"""18-10-2010""",1380,224
823,2302,767300,6280000,OUI,OUI,"""18-10-2010""",823,225
823,2302,767200,6280000,OUI,OUI,"""18-10-2010""",823,226
1651,2301,767200,6280000,OUI,OUI,"""18-10-2010""",1651,227
1230,8713,768000,6279000,OUI,OUI,"""18-10-2010""",1230,228
1230,8713,768000,6279000,OUI,OUI,"""18-10-2010""",1230,229
2221,1911,767800,6278000,NON,NON,"""18-10-2010""",2221,230
2220,1910,767900,6278000,NON,NON,"""18-10-2010""",2220,231
645,521,769000,6277000,NON,OUI,"""18-10-2010""",645,232
2543,546,769500,6277000,NON,NON,"""18-10-2010""",2543,233
2544,454,769500,6277000,NON,NON,"""18-10-2010""",2544,234
2544,557,769700,6277000,NON,NON,"""18-10-2010""",2544,235
1254,558,769700,6277000,NON,NON,"""18-10-2010""",1254,236
1549,1394,771700,6276000,OUI,OUI,"""18-10-2010""",1549,237
1473,1392,771800,6277000,OUI,OUI,"""18-10-2010""",1473,238
411,1389,771800,6277000,TVX,TVX,"""18-10-2010""",411,239
1801,5983,770900,6278000,TVX,TVX,"""18-10-2010""",1801,240
1325,104,771200,6279000,OUI,OUI,"""18-10-2010""",1325,241
2110,54,771200,6279000,OUI,OUI,"""18-10-2010""",2110,242
2006,5419,771200,6279000,OUI,OUI,"""18-10-2010""",2006,243
1780,880,771200,6279000,OUI,OUI,"""18-10-2010""",1780,244
500,5426,771300,6279000,OUI,NON,"""18-10-2010""",500,245
556,5412,771300,6279000,NON,NON,"""18-10-2010""",556,246
1515,961,771700,6279000,NON,NON,"""18-10-2010""",1515,247
3257,61920,767100,6282000,NON,NON,"""18-10-2010""",3257,248
1588,2616,766200,6282000,OUI,OUI,"""18-10-2010""",1588,249
1568,2464,767300,6281000,TVX,TVX,"""18-10-2010""",1568,250
1568,2464,767300,6281000,TVX,TVX,"""18-10-2010""",1568,251
1517,2309,767300,6281000,NON,OUI,"""18-10-2010""",1517,252
1475,2428,766800,6280000,TVX,TVX,"""18-10-2010""",1475,253
1031,4404,768600,6281000,NON,OUI,"""18-10-2010""",1031,254
