"AREA,N,19,8","PERIMETER,N,19,8","COULEUR,C,25","TYPE,C,254","INDICE_1,C,254","INDICE_2,C,254","RECALAGE,N,5,0","DATE_RECAL,D","AREA_1,N,19,11","LEN,N,19,11"
0,0,3,déviation à l'est de Montpellier,des RN 110 et RN 113 vers le chemin de la Vielle Poste,AP n°2005.01.1740 du 8 juillet 2005,0,,"736585,197342","5098,80307877"
0,0,,projet d'extension,du parc d'activités GAROSUD,DCA n° 5230 du 27 juin 2003,0,,"205458,78389","2242,61315793"
0,0,,extension de la première ligne du tramway,et troisième ligne de tramway,DCA n°6916 en date du 20 mars 2006,0,,"2049991,89049","39220,4426161"
0,0,,liaison entre le rond-point C. de Gaulle,et le giratoire B. Franklin,DCA n°6612 du 19 juillet 2005,0,,"37167,0637325","1098,37434199"
0,0,5,Entrée de ville,Route de Nîmes,DCM n°239 en date du 24 avril 2008,0,,"189820,696708","2911,27761941"
0,0,5,Port Marianne,Secteur de la Baume,DCM n°241 en date du 24 avril 2008,0,,"62015,1940294","1717,51958252"
0,0,,EAI,Ecole d'Application de l'Infanterie,DCM n°617 en date du 22 décembre 2008,0,,"506296,692342","3391,36871009"
0,0,, Secteur Campus,,DCM n°8 en date du 9 février 2009,0,,"7681689,7682","20260,0588991"
0,0,,Secteur Hameau de la Cavalade,projet de travaux publics,DCA n°8785 en date du 23 mars 2009,0,,"73290,3748537","1338,00248131"
0,0,,Quartier Croix d'Argent,secteur Poutingon,DCM n° 219 en date du 22 juin 2009,0,,"299451,816887","2684,31299876"
0,0,,Secteur Blanquette -,Thomassy - Plan des Quatre Seigeurs,DCM n° 220 en date du 22 juin 2009,0,,"1317380,97183","6105,50296536"
0,0,,projet de création d'un pôle tertiaire,"secteur ""entrée EST""",DCA n°9371 en date du 12 février 2010,0,,"636680,276408","4285,41287889"
0,0,,Quartier des Près d'Arènes,,DCM n°44 du 30 mars 2006,0,,"907946,844684","6127,90429588"
0,0,,"Secteur ""Ilot Vergnes""",(rue Adam de Craponne),DCM n° 317 en date du 26 juillet 2010,0,,"13856,5929645","477,30271297"
0,0,,Secteur Mosson sud,tour d'Assas,DCM n°306 en date du 27 juillet 2009,0,,"41143,5339869","879,241339808"
0,0,,Secteur de la copropriété des Cévennes,,DCM n°321 en date du 26 juillet 2010,0,,"89172,9028784","1588,14343224"
0,0,,Centre de quartier,de la Pompignane,DCM n° 141 du 28 mars 2011,0,,"90829,7548838","1543,70940459"
0,0,,Plateau de la Pompignane,,DCM n°142 du 28 mars 2011,0,,"475321,808484","2969,45563756"
0,0,,Secteur quai des Tanneurs,,DCM n°318 en date du 26 juillet 2010,0,,"8105,2160228","613,681956157"
0,0,,Ilot Saint Lazare,,DCM n°150 en date du 3 mai 2010,0,,"14592,1368186","688,694660658"
0,0,,Cinquième ligne de tramway,,DCA n°10144 en date du 21 avril 2011,0,,"5031675,53397","46540,8710322"
0,0,,Secteur Lodève - Liberté,,DCM n°2012/319 en date du 25 juin 2012,0,,"332075,188489","2518,46330227"
0,0,,Elaboration de la ligne nouvelle et aménagement des lignes ferrovières existantes,Montpellier Perpignan,AP n°2012.01.476 en date du 27 février 2012,0,,"38151,1802477","941,773206351"
