CAR_LIEU,C,254;CAR_ANNEE,N,4,0;SON_ANNEE,N,4,0;SON_NIVEAU,C,50;POINT_X,N,19,8;POINT_Y,N,19,8
Passage Piéton / Pont De Lavérune;1999;0;Aucun;767686,3955;6279032,6454
Justice / Mende / Dunant;1999;2008;Tout;770212,1862;6281259,1982
Maurin / Bonnié;2008;0;Aucun;770668,7974;6278543,3238
Justice / Major Flandre;1999;0;Aucun;770474,0937;6281274,1044
Justice / Cétoines;1999;0;Aucun;770660,6716;6281234,2079
Justice / Montasinos;2006;2007;Partiel;771234,551;6281173,9167
Mende / Lycée Agricole;1997;0;Aucun;769610,9136;6283352,0901
Passage Piéton / Ecole Painlevé;2008;0;Aucun;772555,807;6279540,4597
Liberté / Les Grezes;2012;2008;Partiel;766914,1184;6279490,7905
Sainte Barbe / CEMH;0;0;Aucun;766539,4787;6281624,1155
Grabels / Valsière ( R D 127 );2004;0;Aucun;766830,9042;6282701,1469
Europe / Cos;2003;0;Aucun;766098,8378;6280617,2643
Passage Piéton / Soulas / Les deux Ruisseaux;2012;0;Aucun;768821,7125;6280978,0158
Soulas / Eucalyptus;2011;2009;Tout;768993,5917;6280776,2617
Marès / Voie Domitienne / Soulas;2000;2010;Partiel;769257,0585;6280556,5159
Bouisse / Mr Teste;2011;0;Aucun;767128,4925;6279380,2267
Monsieur Teste / Eiffel;2008;0;Aucun;767420,1372;6279151,727
Einstein / Becquerel;1992;0;Aucun;773881,9744;6279479,6449
Rimbaud / Allées Rubens;2000;2009;Partiel;768320,8064;6280321,4923
Rimbaud / Carrieu / St Clément;1999;2008;Partiel;768091,2472;6280215,3987
Boulevard Des Sports / Saint Maur / Novingens;2007;2005;Tout;772151,2125;6280361,4706
Pont Du Garigliano;2002;2005;Tout;772448,274;6280325,7923
Pompignane / Vieille Poste;1998;2007;Partiel;772585,3675;6279398,8289
Passage Piéton / Assas / Bartholdi;2008;0;Aucun;769373,6295;6280303,714
Passage Piéton / Mas d'Argeliers ( Casino );2007;0;Aucun;771844,7401;6276818,1709
Pavelet / Castelle;2006;0;Aucun;770220,9768;6276019,3158
Pavelet / Cholet / Méhul;2006;0;Aucun;769751,0142;6276290,7853
Barcelone / Leyde;1999;0;Aucun;765995,701;6280860,7864
Barcelone / Saragosse;1999;0;Aucun;766000,0508;6280963,6987
Barcelone / Cambridge;1999;0;Aucun;766004,85;6281100,9512
Lavérune / Chasseurs;0;0;Aucun;769075,7335;6278576,8138
Lavérune / Lavandin;2000;0;Aucun;768668,8359;6278362,7494
Lavérune / Robespierre;0;2009;Tout;768283,6367;6278337,3633
Lavérune / Danton;2000;2009;Aucun;768093,0974;6278198,3158
Marie De Montpellier / Antonelli / Chélia;1999;0;Aucun;772382,1519;6278327,2986
Place Ernest Granier;1999;0;Aucun;772729,0632;6278506,7737
Dubout / Perruque;2010;0;Aucun;770900,0218;6277938,9858
Léonard De Vinci / Albert Einstein;2005;2006;Partiel;773208,9584;6279228,3319
Boulevard Des Sports / Liron;1996;0;Aucun;771930,8283;6280417,0699
Saint Vincent De Paul / Piéton CESDA;2001;0;Aucun;770607,3686;6280698,8628
Passage Piéton / Ecole Des Pins;0;0;Aucun;768327,5583;6280126,8322
Industrie / Fabre De Morlhon;1999;0;Aucun;771475,6511;6277069,0557
Palavas / Pont Trinquat;2012;2012;Partiel;771450,8026;6278390,6075
Industrie / Marché Gare;2000;0;Aucun;771265,4645;6276641,5114
