INDICE_1,C,80;INDICE_2,C,80;COMENT,C,80;TRANSPAREN,N,10,0;NOMZAC,C,80;CREATION,C,80;REALIATION,C,80;RECALAGE,N,5,0;DATE_RECAL,D;AREA,N,19,11;LEN,N,19,11
;;;50;ZAC Pitot;création AP du 2 août 1993;;0;;8811,17698464;382,477850798
;;;50;ZAC Port marianne - Rive Gauche;création DCM du 4 février 2008;réalisation DCM du 29 mars 2010;0;;96407,9309261;1440,56756629
;;;50;ZAC Pagézy;création DCM  du 14 décembre 2009;;0;;39743,9635088;1547,6778472
;;;50;ZAC Jardin aux Pivoines;création DCM du 25 avril 1997;réalisation DCM du 27 juin 1997;0;;30869,1763991;851,862792332
;;;50;ZAC Port Marianne - République;création DCM du 22 décembre 2008;;0;;203751,579222;1877,73206669
;;;50;ZACde la Restanque;création DCM du 30 mars 2009;;0;;1253875,98157;7991,36011162
;;;50;ZAC Parc 2000;création DCD du 29 mai 2000;réalisation DCD 19 juin 2000;0;;67622,3155713;1092,03426068
;;;50;ZAC des Moulins;création DCM du 6 octobre 1997;réalisation DCM du 26 Juin 1998;0;;63643,0735506;1178,08460052
;;;50;ZAC Odysseum Est;création DCA du 26 mai 2009;;0;;115569,50455;1338,26796644
;;;50;ZAC Parc 2000 Extension;création DCA du 21 juillet 2006;réalisation DCA du 30 janvier 2008;0;;126653,097494;1824,95658085
;;;50;ZAC Parc Euromédecine II;création DCD 20 juin 1991;réalisation DCM du 27 janvier 1988;0;;444291,922644;4495,65462016
;;;50;ZAC Garosud;création DCD du 30 avril 1997;réalisation DCD du 23 février 2000;0;;863926,595607;8840,97157314
;;;50;ZAC Parc Eurêka;création DCD du 19 juin 2000;réalisation DCD du 27 avril 2001;0;;321454,856552;3457,39454406
;;;50;ZAC Port Marianne - Portes de la Méditerranée;création DCM du 19 avril 2005;réalisation DCM du 13 février 2007;0;;493476,359615;3686,21844967
;;;50;ZAC Port Marianne - Parc Marianne;création DCM du 27 juin 2006;réalisation DCM du 7 février 2007;0;;284284,379625;2862,47617602
;;;50;ZAC La Fontaine;création / réalisation;DCM du 12  juillet 1985;0;;104079,041496;1857,07084944
;;;50;ZAC Ovalie;création DCM 3 juin 2004;réalisation DCM du 20 décembre 2005;0;;346664,224399;4524,566537
;;;50;ZAC Jardins de la Lironde;création DCM du 28 février 2005;réalisation DCM du 25 juillet 2005;0;;405201,84648;6106,92358958
;;;50;ZAC Port Marianne - Consuls de Mer;création DCM du 24 juillet 2008;réalisation DCM du 9 mai 2011;0;;247085,743122;3582,24899818
ZAC Hermès;DCM du 30/01/1992;Hermès;50;ZAC Hermès;création DCM du 30 janvier 1992;;0;;19104,1116854;593,11678235
;;;50;ZAC Port Marianne - Richter;création AP du 2 aout 1993;réalisation AP du 7 mars 1995;0;;115743,406508;1471,70232639
;;;50;ZAC Port Marianne - Parc Marianne;création DCM du 27 juin 2006;réalisation DCM du 7 février 2007;0;;9943,55032736;442,630970679
;;;50;ZAC des Grisettes;création DCM du 20 décembre 2005;réalisation DCM du 24 avril 2008;0;;195750,020216;2755,17584827
;;;50;ZAC Hippocrate;création DCM du 29 septembre 2000;réalisation DCM du 1er octobre 2001;0;;76358,0507803;1369,18954919
;;;50;ZAC Port Marianne - République;création DCM du 22 décembre 2008;;0;;11057,6434435;460,113033265
;;;50;ZAC Malbosc;création DCM du 30 septembre 1999;réalisation DCM du 6 février 2003;0;;372465,577098;3039,55917001
;;;50;ZAC du Coteau;création DCM du 3 Octobre 2011;;0;;264429,901303;3321,69530376
;;;50;ZAC Nouveau Saint Roch;création DCM du 24 juillet 2008;réalisation DCM du 4 octobre 2010;0;;163377,303987;2625,49820227
;;;50;ZAC Parc 2000 2ème extension;création DCA du 21 avril 2011;;0;;49305,6796986;1096,86102938
;;;50;ZAC Garosud Extension;création DCA du 21 juillet 2006;;0;;198169,831665;2362,40598708
;;;50;ZAC Pierres Vives;création AP du 13 février 2009;;0;;106241,795415;1867,52195736
;;;50;ZAC Port Marianne - Jacques Coeur;création DCM du 7 octobre 2004;réalisation DCM 25 juillet 2005;0;;96245,2490036;2107,89198377
;;;50;ZAC Saint-Charles;création DCM du 21 janvier 2000;réalisation DCM du 20 septembre 2000;0;;45318,6378065;1020,61986842
;;;50;ZAC Mas d'Alco;création AP du 6 septembre 1989;;0;;251942,897943;2356,66241241
;;;50;ZAC Blaise Pascal;création DCM du 26 juin 1987;réalisation DCM du 22 novembre 1990;0;;364638,697447;4857,21553591
